T_bottom_correction_logg,T_bottom_teff,T_top_correction_logg,T_top_teff,metallicity,rho_bottom_correction_teff,rho_bottom_logg,rho_top_correction_teff,rho_top_logg
"[0.015502099134592948, -0.0539900693986336]","[8.100576070818267e-5, 3.9018012059053655]","[-0.014830221492638612, 0.051650081777446406]","[1.6799910612627129e-6, 3.3955113481224872]",-4.0,"[-0.0006004944222799236, 3.0956522803725153]","[0.5627978147280843, -6.461099160296744]","[-0.0006552322961138226, 3.377835457200288]","[0.055685143034996915, -10.259583709462007]"
"[0.02455973470509224, -0.08553562776601044]","[7.098968510140881e-5, 3.960104843646171]","[-0.006172321923921649, 0.02149670742045882]","[7.77611703972808e-6, 3.3586776925887922]",-3.0,"[-0.000557455709910945, 2.8737802973518343]","[0.56408569512739, -6.515653889130399]","[-0.0006615901643955336, 3.410611364357684]","[0.1553082016910901, -10.518015021999059]"
"[0.03074528850591676, -0.10854078621525355]","[8.338664347852545e-5, 3.8846665752366714]","[-0.013120755011537583, 0.04632049769234513]","[4.472006749114763e-5, 3.188395694570542]",-2.0,"[-0.0004624251649176739, 2.4117262379487294]","[0.6667333847878056, -7.088447126777835]","[-7.183539142393274e-5, 0.37464937352307437]","[0.3798315558872379, -11.221135857636414]"
"[0.022407973598503345, -0.07954057934580636]","[9.351123812144444e-5, 3.835721784768008]","[-0.0015431928231741145, 0.005477802387816802]","[6.741985378437737e-5, 3.110341035404692]",-1.0,"[-0.0003421716347843952, 1.7672221010900566]","[0.747694977729911, -7.607657884818213]","[-0.00013750760906239558, 0.710188867150128]","[0.5111635945475254, -12.192639644670672]"
"[-0.0143771779956583, 0.051651343170623636]","[7.798709804447277e-5, 3.9337716917506356]","[-0.007892998826030456, 0.028356329115738318]","[8.189432614941207e-5, 3.0599226130697277]",-0.5,"[-0.00038736062639080295, 2.001363236351369]","[0.5553996535811604, -6.981566979277324]","[-5.84862276819987e-5, 0.30217884302228143]","[0.3181609042099319, -11.400841730770157]"
"[-0.023705626943271798, 0.08588209989846256]","[7.999370819049133e-5, 3.941248749028144]","[0.005065244070804204, -0.01835065566122574]","[7.673209492174791e-5, 3.104399771595969]",0.0,"[-0.0003670709427815007, 1.9045344769441053]","[0.6418529955513551, -7.448743454026879]","[-0.00020858471751407408, 1.0822343566156474]","[0.38131298250482376, -11.662584467345404]"
"[-0.04020274469159714, 0.15350138882430797]","[0.00011453843658878679, 3.7912912285735536]","[0.039966334092401114, -0.15259873017097625]","[5.353022355910753e-5, 3.1892282561813836]",0.5,"[-0.00044850910057439336, 2.3138992234156897]","[0.6645096583683648, -7.63369866115407]","[-0.0007032437415436896, 3.6280983938729943]","[0.7110447245604444, -13.800035165177473]"
