model,<Teff>,sigma Teff,max Teff,min Teff
model A,5923.538905156518,7.729911186725607,5936.22096376806,5912.517960719609
model B,5858.867820719581,14.752916510830905,5880.229995432524,5827.383150666919
model C,5786.013111978817,9.637473775413504,5802.726468178821,5771.975639335587
model D,5808.235887514715,14.81117344950885,5825.480131779922,5774.643809445387
t55g45m00,5568.673535414087,12.663451397539932,5592.454003384229,5549.876969321391
t60g45m00,6047.536180117161,12.915479463300855,6060.021182488457,6026.627628155468
t65g45m00,6526.144461191976,12.472065794909057,6542.808928284082,6506.017350112749
