z, rho, P, T 
2.100000e+07 6.501339e-05 1.822332e+08 2.706309e+04   
2.000000e+07 6.549378e-05 1.840207e+08 2.711344e+04   
1.900000e+07 6.597635e-05 1.858211e+08 2.716383e+04   
1.800000e+07 6.646110e-05 1.876350e+08 2.721430e+04   
1.700000e+07 6.694812e-05 1.894620e+08 2.726480e+04   
1.600000e+07 6.743718e-05 1.913026e+08 2.731540e+04   
1.500000e+07 6.792866e-05 1.931565e+08 2.736598e+04   
1.400000e+07 6.842209e-05 1.950240e+08 2.741672e+04   
1.300000e+07 6.891790e-05 1.969050e+08 2.746746e+04   
1.200000e+07 6.941579e-05 1.987996e+08 2.751827e+04   
1.100000e+07 6.991601e-05 2.007080e+08 2.756914e+04   
1.000000e+07 7.041826e-05 2.026300e+08 2.762008e+04   
9.000000e+06 7.092298e-05 2.045662e+08 2.767105e+04   
8.000000e+06 7.142959e-05 2.065160e+08 2.772215e+04   
7.000000e+06 7.193877e-05 2.084803e+08 2.777325e+04   
6.000000e+06 7.244977e-05 2.104585e+08 2.782447e+04   
5.000000e+06 7.296334e-05 2.124515e+08 2.787575e+04   
4.000000e+06 7.347861e-05 2.144583e+08 2.792717e+04   
3.000000e+06 7.399661e-05 2.164808e+08 2.797867e+04   
2.000000e+06 7.451490e-05 2.185165e+08 2.803054e+04   
1.000000e+06 7.503559e-05 2.205691e+08 2.808261e+04   
0.000000e+00 7.555960e-05 2.226324e+08 2.813422e+04   
