-4.9913E+00	  5.1761E+03	  5.9600E+10	  0.0000E+00	  1.6925E+00
 -4.9738E+00	  5.1676E+03	  6.0092E+10	  0.0000E+00	  1.6712E+00
 -4.9563E+00	  5.1451E+03	  6.0135E+10	  0.0000E+00	  1.6451E+00
 -4.9388E+00	  5.1287E+03	  6.0388E+10	  0.0000E+00	  1.6365E+00
 -4.9213E+00	  5.1096E+03	  6.0676E+10	  0.0000E+00	  1.6131E+00
 -4.9038E+00	  5.0933E+03	  6.0785E+10	  0.0000E+00	  1.6022E+00
 -4.8863E+00	  5.0750E+03	  6.1241E+10	  0.0000E+00	  1.5723E+00
 -4.8688E+00	  5.0589E+03	  6.1303E+10	  0.0000E+00	  1.5574E+00
 -4.8513E+00	  5.0490E+03	  6.1857E+10	  0.0000E+00	  1.5470E+00
 -4.8338E+00	  5.0234E+03	  6.2033E+10	  0.0000E+00	  1.5300E+00
 -4.8163E+00	  5.0102E+03	  6.2168E+10	  0.0000E+00	  1.5126E+00
 -4.7988E+00	  4.9921E+03	  6.2741E+10	  0.0000E+00	  1.4975E+00
 -4.7813E+00	  4.9802E+03	  6.3184E+10	  0.0000E+00	  1.4804E+00
 -4.7637E+00	  4.9556E+03	  6.3686E+10	  0.0000E+00	  1.4549E+00
 -4.7463E+00	  4.9515E+03	  6.4558E+10	  0.0000E+00	  1.4457E+00
 -4.7288E+00	  4.9394E+03	  6.4999E+10	  0.0000E+00	  1.4230E+00
 -4.7113E+00	  4.9228E+03	  6.5562E+10	  0.0000E+00	  1.4148E+00
 -4.6938E+00	  4.9081E+03	  6.6065E+10	  0.0000E+00	  1.3952E+00
 -4.6763E+00	  4.8967E+03	  6.6521E+10	  0.0000E+00	  1.3836E+00
 -4.6588E+00	  4.8804E+03	  6.7404E+10	  0.0000E+00	  1.3666E+00
 -4.6413E+00	  4.8657E+03	  6.8097E+10	  0.0000E+00	  1.3438E+00
 -4.6238E+00	  4.8655E+03	  6.9128E+10	  0.0000E+00	  1.3281E+00
 -4.6063E+00	  4.8594E+03	  7.0440E+10	  0.0000E+00	  1.3126E+00
 -4.5888E+00	  4.8438E+03	  7.0388E+10	  0.0000E+00	  1.2906E+00
 -4.5713E+00	  4.8413E+03	  7.2016E+10	  0.0000E+00	  1.2854E+00
 -4.5538E+00	  4.8291E+03	  7.2404E+10	  0.0000E+00	  1.2693E+00
 -4.5363E+00	  4.8267E+03	  7.3668E+10	  0.0000E+00	  1.2511E+00
 -4.5188E+00	  4.8112E+03	  7.4048E+10	  0.0000E+00	  1.2276E+00
 -4.5013E+00	  4.8084E+03	  7.5006E+10	  0.0000E+00	  1.2185E+00
 -4.4838E+00	  4.7934E+03	  7.5001E+10	  0.0000E+00	  1.2022E+00
 -4.4663E+00	  4.7918E+03	  7.6548E+10	  0.0000E+00	  1.1875E+00
 -4.4488E+00	  4.7760E+03	  7.7362E+10	  0.0000E+00	  1.1618E+00
 -4.4313E+00	  4.7672E+03	  7.7676E+10	  0.0000E+00	  1.1529E+00
 -4.4138E+00	  4.7532E+03	  7.9159E+10	  0.0000E+00	  1.1363E+00
 -4.3962E+00	  4.7383E+03	  7.9104E+10	  0.0000E+00	  1.1140E+00
 -4.3788E+00	  4.7252E+03	  8.0102E+10	  0.0000E+00	  1.1054E+00
 -4.3613E+00	  4.7135E+03	  8.0769E+10	  0.0000E+00	  1.0815E+00
 -4.3438E+00	  4.7042E+03	  8.1741E+10	  0.0000E+00	  1.0684E+00
 -4.3263E+00	  4.7008E+03	  8.3709E+10	  0.0000E+00	  1.0490E+00
 -4.3088E+00	  4.6809E+03	  8.4588E+10	  0.0000E+00	  1.0312E+00
 -4.2913E+00	  4.6734E+03	  8.5946E+10	  0.0000E+00	  1.0156E+00
 -4.2738E+00	  4.6558E+03	  8.7130E+10	  0.0000E+00	  9.9454E-01
 -4.2563E+00	  4.6423E+03	  8.8974E+10	  0.0000E+00	  9.7495E-01
 -4.2388E+00	  4.6399E+03	  9.0578E+10	  0.0000E+00	  9.6776E-01
 -4.2213E+00	  4.6399E+03	  9.1359E+10	  0.0000E+00	  9.6603E-01
 -4.2038E+00	  4.6263E+03	  9.4256E+10	  0.0000E+00	  9.3826E-01
 -4.1863E+00	  4.6245E+03	  9.6131E+10	  0.0000E+00	  9.2953E-01
 -4.1688E+00	  4.6237E+03	  9.8735E+10	  0.0000E+00	  9.2137E-01
 -4.1513E+00	  4.6196E+03	  1.0042E+11	  0.0000E+00	  9.1032E-01
 -4.1338E+00	  4.6080E+03	  1.0256E+11	  0.0000E+00	  9.0151E-01
 -4.1163E+00	  4.5994E+03	  1.0488E+11	  0.0000E+00	  8.9425E-01
 -4.0988E+00	  4.6019E+03	  1.0697E+11	  0.0000E+00	  8.8449E-01
 -4.0813E+00	  4.6011E+03	  1.0992E+11	  0.0000E+00	  8.6585E-01
 -4.0638E+00	  4.5943E+03	  1.1107E+11	  0.0000E+00	  8.6508E-01
 -4.0463E+00	  4.5898E+03	  1.1408E+11	  0.0000E+00	  8.5048E-01
 -4.0287E+00	  4.5888E+03	  1.1705E+11	  0.0000E+00	  8.4273E-01
 -4.0113E+00	  4.5797E+03	  1.1901E+11	  0.0000E+00	  8.3423E-01
 -3.9938E+00	  4.5746E+03	  1.2167E+11	  0.0000E+00	  8.2554E-01
 -3.9763E+00	  4.5712E+03	  1.2474E+11	  0.0000E+00	  8.1785E-01
 -3.9588E+00	  4.5664E+03	  1.2701E+11	  0.0000E+00	  8.0720E-01
