-2.2375e8	19277.84765625
-2.21250016e8	19171.171875
-2.1875e8	19068.12890625
-2.16249984e8	18964.169921875
-2.1375e8	18860.982421875
-2.1125e8	18758.23046875
-2.08750016e8	18655.58984375
-2.0625e8	18553.357421875
-2.03749984e8	18451.80078125
-2.0125e8	18350.140625
-1.9875e8	18248.494140625
-1.9625e8	18147.451171875
-1.9375e8	18047.6328125
-1.9125e8	17948.1484375
-1.8875e8	17848.412109375
-1.8625e8	17748.486328125
-1.8375e8	17649.26953125
-1.8125e8	17550.150390625
-1.7875e8	17450.55078125
-1.7625e8	17350.486328125
-1.7375e8	17252.701171875
-1.7125e8	17153.244140625
-1.6875e8	17053.908203125
-1.6625e8	16955.025390625
-1.6375e8	16856.490234375
-1.6125e8	16757.53515625
-1.5875e8	16658.4375
-1.5625e8	16559.90625
-1.5375e8	16461.490234375
-1.5125e8	16362.9599609375
-1.4875e8	16264.6337890625
-1.4625e8	16166.7646484375
-1.4375e8	16068.53125
-1.4125e8	15969.591796875
-1.3875e8	15870.6494140625
-1.3625e8	15771.2978515625
-1.3375e8	15670.83203125
-1.3125e8	15570.0
-1.2875e8	15470.5380859375
-1.26250008e8	15371.5556640625
-1.23749992e8	15275.1103515625
-1.2125e8	15175.62890625
-1.1875e8	15076.966796875
-1.1625e8	14978.08984375
-1.13750008e8	14877.7998046875
-1.11249992e8	14776.5732421875
-1.0875e8	14675.6318359375
-1.0625e8	14575.5068359375
-1.0375e8	14476.2412109375
-1.01250008e8	14377.6640625
-9.875e7	14279.91015625
-9.625e7	14181.5517578125
-9.375e7	14082.2509765625
-9.125e7	13981.0146484375
-8.875e7	13878.494140625
-8.625e7	13776.75390625
-8.375e7	13673.8896484375
-8.125e7	13570.3408203125
-7.875e7	13467.001953125
-7.625e7	13362.2158203125
-7.375e7	13259.44140625
-7.125e7	13146.8251953125
-6.875e7	13033.064453125
-6.6250004e7	12920.29296875
-6.375e7	12808.82421875
-6.125e7	12696.529296875
-5.8749996e7	12581.9716796875
-5.625e7	12467.2646484375
-5.3750004e7	12353.08203125
-5.125e7	12237.697265625
-4.875e7	12125.4306640625
-4.625e7	12015.2890625
-4.375e7	11900.814453125
-4.125e7	11782.6884765625
-3.875e7	11661.0732421875
-3.625e7	11533.7216796875
-3.375e7	11401.107421875
-3.125e7	11259.99609375
-2.875e7	11115.1318359375
-2.6249998e7	10969.646484375
-2.375e7	10828.9501953125
-2.125e7	10651.2841796875
-1.875e7	10461.14453125
-1.6249999e7	10248.3310546875
-1.375e7	10012.365234375
-1.125e7	9750.423828125
-8.75e6	9456.9267578125
-6.25e6	9129.8828125
-3.75000025e6	8749.904296875
-1.25e6	8286.759765625
1.25e6	7718.4072265625
3.75000025e6	7083.30078125
6.25e6	6526.341796875
8.75e6	6147.89208984375
1.125e7	5900.9814453125
1.375e7	5723.31103515625
1.6249999e7	5592.58154296875
1.875e7	5488.60888671875
2.125e7	5399.9736328125
2.375e7	5331.5830078125
2.6249998e7	5282.01513671875
2.875e7	5233.8837890625
3.125e7	5187.9208984375
3.375e7	5139.7529296875
3.625e7	5087.4990234375
3.875e7	5037.76708984375
4.125e7	4996.58056640625
4.375e7	4961.19287109375
4.625e7	4925.36865234375
4.875e7	4890.033203125
5.125e7	4852.74853515625
5.3750004e7	4810.2646484375
5.625e7	4761.9287109375
5.8749996e7	4706.38720703125
6.125e7	4639.36181640625
6.375e7	4551.40966796875
6.6250004e7	4439.1845703125
6.875e7	4307.318359375
7.125e7	4166.12841796875
7.375e7	4062.963134765625
