# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
CS22881-036	I.U.Roederer+,AJ, 147, 136, 2014	22 07 58.43	-40 44 16.4	5940	3.7	-2.37	-2.34	0.55	1.96
CS22881-036	G.W.Preston+,AJ, 122, 1545, 2001	22 07 58.43	-40 44 16.4	6200	4	-2.1	-2.05		2.08
CS22881-070	I.U.Roederer+,AJ, 147, 136, 2014	22 16 37.05	-40 44 06.0	6020	3.7	-2.73	-2.96	<0.53	<0.63
CS22882-006	I.U.Roederer+,AJ, 147, 136, 2014	00 21 59.87	-29 29 26.5	5800	3.6	-2.66	-2.94	0.67	0.19
CS22882-012	I.U.Roederer+,AJ, 147, 136, 2014	00 30 22.51	-27 35 27.2	6290	3.8	-2.75	-2.76	0.13	1.11
CS22882-030	I.U.Roederer+,AJ, 147, 136, 2014	00 30 20.04	-30 20 58.4	5580	3.4	-3.14	-3.47	<1.38	<0.54
CS22884-020	I.U.Roederer+,AJ, 147, 136, 2014	15 34 22.43	-08 33 40.1	6040	3.75	-2.27	-2.48	0.32	0.37
CS22885-040	I.U.Roederer+,AJ, 147, 136, 2014	20 18 07.96	-38 05 57.2	6160	3.75	-2.6	-2.78	0.49	0.58
CS22885-096	S.M.Andrievsky+,AAP, 494, 1083, 2009	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		
CS22885-096	A.McWilliam+,AJ, 109, 2757, 1995	20 20 51.17	-39 53 30.2	4920	2.1	-3.5	-3.62		0.26
CS22885-096	P.Francois+,AAP, 403, 1105, 2003	20 20 51.17	-39 53 30.2	4900	2		-3.96		
CS22885-096	R.Cayrel+,AAP, 416, 1117, 2004	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.81		0.33
CS22885-096	M.Spite+,AAP, 430, 655, 2005	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		0.35
CS22885-096	A.McWilliam+,AJ, 109, 2736, 1995	20 20 51.17	-39 53 30.2						
CS22885-096	M.Spite+,AAP, 541, A143, 2012	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		
CS22885-096	S.M.Andrievsky+,AAP, 509, A88, 2010	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		
CS22885-096	K.A.Venn+,AJ, 128, 1177, 2004	20 20 51.17	-39 53 30.2				-3.79		
CS22885-096	P.Francois+,AAP, 476, 935, 2007	20 20 51.17	-39 53 30.2	5050	2.6	-4	-3.78		
CS22885-096	J.E.Norris+,ApJ, 561, 1034, 2001	20 20 51.17	-39 53 30.2	5050	1.9	-3.66	-3.49		0.67
CS22885-096	S.M.Andrievsky+,AAP, 464, 1081, 2007	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		
CS22885-096	I.U.Roederer+,AJ, 147, 136, 2014	20 20 51.17	-39 53 30.2	4580	0.75	-4.21	-4.41	<2.45	0.6
CS22885-096	M.Spite+,AAP, 455, 291, 2006	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		0.35
CS22885-096	S.M.Andrievsky+,AAP, 481, 481, 2008	20 20 51.17	-39 53 30.2	5050	2.6	-3.78	-3.78		
CS22885-203	I.U.Roederer+,AJ, 147, 136, 2014	20 30 19.28	-37 42 17.1	5820	3.6	-2.57	-2.73	0.76	0.21
CS22886-003	I.U.Roederer+,AJ, 147, 136, 2014	22 13 52.18	-10 47 01.0	5970	3.65	-2.87	-2.92	0.54	0.54
CS22886-012	I.U.Roederer+,MNRAS, 445, 2970, 2014	22 13 25.88	-08 43 43.3	5650	3.5	-2.61	-2.61		
CS22886-012	I.U.Roederer+,AJ, 147, 136, 2014	22 13 25.88	-08 43 43.3	5650	3.5	-2.61	-2.88	0.76	0.11
CS22886-013	I.U.Roederer+,AJ, 147, 136, 2014	22 12 03.00	-08 45 46.0	6200	1.75	-2.6	-2.58	0.03	<1.55
CS22887-048	D.Karinkuzhi+,AAP, 645, 61, 2021	22 46 44.62	-11 08 42.43	6500	3.2	-2.1	-2.1		1.87
CS22887-048	J.A.Johnson+,ApJ, 658, 1203, 2007	22 46 44.60	-11 08 42.0	6455	3.99	-2.22	-2.77		2.18
CS22887-048	T.Masseron+,ApJ, 751, 14, 2012	22 46 44.60	-11 08 42.0	6500	3.7	-1.8		<1.16	1.52
CS22887-048	D.M.Allen+,AAP, 548, A34, 2012	22 46 44.60	-11 08 42.0	6500	3.35	-1.7			1.93
CS22888-002	I.U.Roederer+,AJ, 147, 136, 2014	23 04 37.23	-36 39 57.9	5700	3.5	-2.91	-2.93	<0.8	0.5
CS22888-014	I.U.Roederer+,AJ, 147, 136, 2014	23 04 15.53	-33 29 44.8	6020	3.7	-2.69	-2.73	0.23	<0.7
CS22888-031	S.M.Andrievsky+,AAP, 464, 1081, 2007	23 11 32.47	-35 26 42.9	6150	5	-3.28	-3.28		
CS22888-031	P.Bonifacio+,AAP, 462, 851, 2007	23 11 32.47	-35 26 42.9	6151	5	-3.3	-3.29		
CS22888-031	I.U.Roederer+,AJ, 147, 136, 2014	23 11 32.47	-35 26 42.9	5810	3.5	-3.41	-3.71	<1.18	0.92
CS22888-031	P.Bonifacio+,AAP, 501, 519, 2009	23 11 32.47	-35 26 42.9	6151	5	-3.3	-3.29		0.49
CS22888-031	M.Spite+,AAP, 541, A143, 2012	23 11 32.47	-35 26 42.9	6150	5	-3.28	-3.28		
CS22888-031	S.M.Andrievsky+,AAP, 509, A88, 2010	23 11 32.47	-35 26 42.9	6150	5	-3.28	-3.28		
CS22888-031	L.Sbordone+,AAP, 522, A26, 2010	23 11 32.47	-35 26 42.9	5925	4.5	-3.47	-3.47		
CS22888-031	S.M.Andrievsky+,AAP, 481, 481, 2008	23 11 32.47	-35 26 42.9	6150	5	-3.28	-3.28		
CS22890-011	I.U.Roederer+,AJ, 147, 136, 2014	15 13 21.07	+02 14 59.6	6010	3.7	-2.47	-2.68	0.58	<0.45
CS22890-024	I.U.Roederer+,AJ, 147, 136, 2014	15 16 05.40	-00 03 57.8	5320	2.95	-2.58	-2.77	1.13	0.31
CS22890-024	C.J.Hansen+,AAP, 545, A31, 2012	15 16 05.40	-00 03 57.8	5400	2.65	-2.77	-2.77		
CS22891-171	D.Karinkuzhi+,AAP, 645, 61, 2021	19 28 04.03	-59 24 26.46	5215	1.24	-2.5	-2.5		2.07
CS22891-171	J.A.Johnson+,ApJ, 658, 1203, 2007	19 28 04.02	-59 24 26.4	5297	3.07	-2.45	-2.43		1.56
CS22891-171	T.Masseron+,AAP, 509, A93, 2010	19 28 04.02	-59 24 26.4	5100	1.6	-2.25	-2.3	<0.81	1.57
CS22891-184	I.U.Roederer+,AJ, 147, 136, 2014	19 26 12.32	-60 34 06.3	5530	1.6	-2.67	-2.68	0.4	<0.35
CS22891-184	G.W.Preston+,AJ, 132, 85, 2006	19 26 12.32	-60 34 06.3	5600	2.2	-2.5	-2.59		0.26
CS22891-200	A.McWilliam+,AJ, 109, 2757, 1995	19 35 19.08	-61 42 24.4	4700	1	-3.5	-3.32		0.49
CS22891-200	I.U.Roederer+,AJ, 147, 136, 2014	19 35 19.08	-61 42 24.4	4490	0.5	-3.88	-4.06	<1.67	0.53
CS22891-200	I.U.Roederer+,ApJ, 784, 158, 2014	19 35 19.08	-61 42 24.4	4490	0.5	-3.88	-4.06	<1.67	0.53
CS22891-200	A.McWilliam+,AJ, 109, 2736, 1995	19 35 19.08	-61 42 24.4						
CS22891-200	K.A.Venn+,AJ, 128, 1177, 2004	19 35 19.08	-61 42 24.4				-3.49		
CS22891-200	J.K.Hollek+,ApJ, 742, 54, 2011	19 35 19.08	-61 42 24.4	4500	0.45	-3.92	-3.92		0.58
CS22891-209	S.M.Andrievsky+,AAP, 494, 1083, 2009	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		
CS22891-209	A.McWilliam+,AJ, 109, 2757, 1995	19 42 02.16	-61 03 44.7	4680	0.65	-3.2	-3.03		-0.5
CS22891-209	R.Cayrel+,AAP, 416, 1117, 2004	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29	0.85	-0.43
CS22891-209	M.Spite+,AAP, 430, 655, 2005	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29	0.82	-0.56
CS22891-209	A.McWilliam+,AJ, 109, 2736, 1995	19 42 02.16	-61 03 44.7						
CS22891-209	M.Spite+,AAP, 541, A143, 2012	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		
CS22891-209	S.M.Andrievsky+,AAP, 509, A88, 2010	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		
CS22891-209	K.A.Venn+,AJ, 128, 1177, 2004	19 42 02.16	-61 03 44.7				-3.2		
CS22891-209	P.Francois+,AAP, 476, 935, 2007	19 42 02.16	-61 03 44.7	4700	1	-3	-3.29		
CS22891-209	S.M.Andrievsky+,AAP, 464, 1081, 2007	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		
CS22891-209	I.U.Roederer+,AJ, 147, 136, 2014	19 42 02.16	-61 03 44.7	4620	0.95	-3.26	-3.49	<1.55	-0.42
CS22891-209	M.Spite+,AAP, 455, 291, 2006	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		-0.48
CS22891-209	M.Spite+,AAP, 528, A9, 2011	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		
CS22891-209	S.M.Andrievsky+,AAP, 481, 481, 2008	19 42 02.16	-61 03 44.7	4700	1	-3.29	-3.29		
CS22891-221	I.U.Roederer+,AJ, 147, 136, 2014	19 35 10.46	-59 41 58.3	5290	2.8	-3.48	-3.23	<1.3	0.44
CS22892-025	I.U.Roederer+,AJ, 147, 136, 2014	22 07 43.05	-15 15 00.8	6140	3.75	-2.66	-2.78	<0.29	0.76
CS22892-052	A.McWilliam+,AJ, 109, 2757, 1995	22 17 01.66	-16 39 27.1	4760	1.3	-3.1	-2.87		0.94
CS22892-052	J.A.Johnson+,ApJ, 658, 1203, 2007	22 17 01.66	-16 39 27.1	4861	1.86	-2.76	-2.74		0.71
CS22892-052	D.K.Lai+,ApJ, 667, 1185, 2007	22 17 01.66	-16 39 27.1	4854	1.87	-2.99	-2.82		0.96
CS22892-052	M.Spite+,AAP, 430, 655, 2005	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03	0.52	0.98
CS22892-052	W.Aoki+,ApJ, 586, 506, 2003	22 17 01.66	-16 39 27.1						
CS22892-052	A.McWilliam+,AJ, 109, 2736, 1995	22 17 01.66	-16 39 27.1						
CS22892-052	S.M.Andrievsky+,AAP, 509, A88, 2010	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03		
CS22892-052	G.W.Preston+,AJ, 122, 1545, 2001	22 17 01.66	-16 39 27.1						
CS22892-052	P.Francois+,AAP, 476, 935, 2007	22 17 01.66	-16 39 27.1	4850	1.6	-3	-3.03		
CS22892-052	L.Zhang+,AAP, 528, A92, 2011	22 17 01.66	-16 39 27.1				-2.95		0.87
CS22892-052	S.Honda+,ApJS, 152, 113, 2004	22 17 01.66	-16 39 27.1						
CS22892-052	S.Honda+,ApJ, 607, 474, 2004	22 17 01.66	-16 39 27.1	4790	1.6	-2.92	-2.91		1.03
CS22892-052	S.M.Andrievsky+,AAP, 494, 1083, 2009	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03		
CS22892-052	J.E.Norris+,ApJ, 488, 350, 1997	22 17 01.66	-16 39 27.1	4850	1.5		-2.8		1.06
CS22892-052	P.S.Barklem+,AAP, 439, 129, 2005	22 17 01.66	-16 39 27.1	4884	1.81	-2.95	-2.95		0.96
CS22892-052	I.U.Roederer+,MNRAS, 445, 2970, 2014	22 17 01.66	-16 39 27.1	4690	1.15	-3.16	-3.16		
CS22892-052	R.Cayrel+,AAP, 416, 1117, 2004	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.04	0.56	0.99
CS22892-052	C.Sneden+,ApJ, 533, L139, 2000	22 17 01.66	-16 39 27.1	4710	1.5	-3.2	-3.2		
CS22892-052	M.Spite+,AAP, 541, A143, 2012	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03		
CS22892-052	N.Christlieb+,AAP, 428, 1027, 2004	22 17 01.66	-16 39 27.1			-2.97			
CS22892-052	K.A.Venn+,AJ, 128, 1177, 2004	22 17 01.66	-16 39 27.1				-3.04		
CS22892-052	S.M.Andrievsky+,AAP, 464, 1081, 2007	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03		
CS22892-052	I.U.Roederer+,AJ, 147, 136, 2014	22 17 01.66	-16 39 27.1	4690	1.15	-3.16	-3.24	<1.05	0.92
CS22892-052	I.U.Roederer+,ApJ, 698, 1963, 2009	22 17 01.66	-16 39 27.1	4800	1.5	-3.1	-3.1		
CS22892-052	M.Spite+,AAP, 455, 291, 2006	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03		1.01
CS22892-052	M.Spite+,AAP, 528, A9, 2011	22 17 01.66	-16 39 27.1	4850	1.6	-3.03	-3.03		
CS22892-052	J.J.Cowan+,ApJ, 627, 238, 2005	22 17 01.66	-16 39 27.1	4800	1.5	-3.1	-3.13		
CS22892-052	J.Ren+,AAP, 537, A118, 2012	22 17 01.66	-16 39 27.1	4884	1.81	-2.95	-2.78		0.96
CS22892-052	C.Sneden+,ApJ, 591, 936, 2003	22 17 01.66	-16 39 27.1	4800	1.5	-2.5	-3.1	0.86	0.97
CS22893-005	I.U.Roederer+,AJ, 147, 136, 2014	22 53 50.74	-09 59 15.4	5260	2.75	-2.93	-2.99	<1.05	0.11
CS22893-010	I.U.Roederer+,AJ, 147, 136, 2014	22 58 11.73	-11 56 45.4	5150	2.45	-2.93	-3.12	1.01	0.31
CS22893-010	D.K.Lai+,ApJ, 667, 1185, 2007	22 58 11.73	-11 56 45.4	5528	3.44	-2.38	-2.21		0.26
CS22893-010	I.U.Roederer+,ApJ, 784, 158, 2014	22 58 11.73	-11 56 45.4	5150	2.45	-2.93	-3.12	1.01	0.31
CS22893-010	D.K.Lai+,AJ, 128, 2402, 2004	22 58 11.73	-11 56 45.4	5528	3.44	-2.5	-2.38		
CS22893-011	I.U.Roederer+,AJ, 147, 136, 2014	23 00 52.30	-10 35 26.2	6010	3.75	-2.27	-2.4	0.42	0.34
CS22894-004	I.U.Roederer+,AJ, 147, 136, 2014	23 32 39.55	-00 56 12.4	5920	3.65	-2.65	-2.96	0.67	0.42
CS22894-049	I.U.Roederer+,AJ, 147, 136, 2014	23 49 52.80	-01 57 50.6	5870	3.9	-2.83	-2.84	<0.42	0.42
CS22896-015	I.U.Roederer+,AJ, 147, 136, 2014	19 18 45.35	-55 24 45.0	5080	2.25	-2.84	-2.85	<0.7	0.09
CS22896-055	I.U.Roederer+,AJ, 147, 136, 2014	19 29 43.89	-53 59 29.1	5970	1.85	-2.51	-2.52	0.29	<0.89
CS22896-110	I.U.Roederer+,AJ, 147, 136, 2014	19 35 48.01	-53 26 16.4	5380	1.15	-2.86	-2.85	0.35	0.19
CS22896-110	G.W.Preston+,AJ, 132, 85, 2006	19 35 48.01	-53 26 16.4	5500	2.15	-2.5	-2.69		<0.66
CS22896-115	I.U.Roederer+,AJ, 147, 136, 2014	19 35 05.07	-52 47 11.7	5910	3.65	-2.72	-2.82	0.88	0.38
CS22896-136	I.U.Roederer+,AJ, 147, 136, 2014	19 39 53.23	-54 10 24.2	6190	3.85	-2.19	-2.41	0.55	1.3
CS22896-154	S.M.Andrievsky+,AAP, 494, 1083, 2009	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		
CS22896-154	A.McWilliam+,AJ, 109, 2757, 1995	19 42 26.89	-56 58 34.0	5140	2.55	-2.9	-2.56		0.13
CS22896-154	R.Cayrel+,AAP, 416, 1117, 2004	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.68	1.01	0.35
CS22896-154	M.Spite+,AAP, 430, 655, 2005	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69	0.99	0.32
CS22896-154	A.McWilliam+,AJ, 109, 2736, 1995	19 42 26.89	-56 58 34.0						
CS22896-154	M.Spite+,AAP, 541, A143, 2012	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		
CS22896-154	S.M.Andrievsky+,AAP, 509, A88, 2010	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		
CS22896-154	K.A.Venn+,AJ, 128, 1177, 2004	19 42 26.89	-56 58 34.0				-2.73		
CS22896-154	P.Francois+,AAP, 476, 935, 2007	19 42 26.89	-56 58 34.0	5250	2.7	-2.7	-2.69		
CS22896-154	S.M.Andrievsky+,AAP, 464, 1081, 2007	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		
CS22896-154	M.Spite+,AAP, 455, 291, 2006	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		0.32
CS22896-154	M.Spite+,AAP, 528, A9, 2011	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		
CS22896-154	F.Spite+,AAP, 611, A30, 2018	19 42 26.89	-56 58 34.06	5250	2.7	-2.7	-2.69		
CS22896-154	S.M.Andrievsky+,AAP, 481, 481, 2008	19 42 26.89	-56 58 34.0	5250	2.7	-2.69	-2.69		
CS22897-008	S.M.Andrievsky+,AAP, 494, 1083, 2009	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		
CS22897-008	A.McWilliam+,AJ, 109, 2757, 1995	21 03 11.86	-65 05 08.8	4790	1.5	-3.4	-3.18		0.3
CS22897-008	R.Cayrel+,AAP, 416, 1117, 2004	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.42		0.6
CS22897-008	M.Spite+,AAP, 430, 655, 2005	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		0.65
CS22897-008	A.McWilliam+,AJ, 109, 2736, 1995	21 03 11.86	-65 05 08.8						
CS22897-008	M.Spite+,AAP, 541, A143, 2012	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		
CS22897-008	S.M.Andrievsky+,AAP, 509, A88, 2010	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		
CS22897-008	K.A.Venn+,AJ, 128, 1177, 2004	21 03 11.86	-65 05 08.8				-3.35		
CS22897-008	P.Francois+,AAP, 476, 935, 2007	21 03 11.86	-65 05 08.8	4900	1.7	-3.5	-3.41		
CS22897-008	S.M.Andrievsky+,AAP, 464, 1081, 2007	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		
CS22897-008	I.U.Roederer+,AJ, 147, 136, 2014	21 03 11.86	-65 05 08.8	4550	0.7	-3.73	-3.83	<1.86	0.6
CS22897-008	M.Spite+,AAP, 455, 291, 2006	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		0.67
CS22897-008	M.Spite+,AAP, 528, A9, 2011	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		
CS22897-008	F.Spite+,AAP, 611, A30, 2018	21 03 11.85	-65 05 08.85	4900	1.7	-3.4	-3.41		
CS22897-008	S.M.Andrievsky+,AAP, 481, 481, 2008	21 03 11.86	-65 05 08.8	4900	1.7	-3.41	-3.41		
CS22898-027	A.McWilliam+,AJ, 109, 2757, 1995	21 05 45.09	-18 36 57.5	6000	3.6	-2.2	-2.19		1.86
CS22898-027	D.K.Lai+,ApJ, 667, 1185, 2007	21 05 45.09	-18 36 57.5	5750	3.58	-2.29	-2.12		1.41
CS22898-027	A.McWilliam+,AJ, 109, 2736, 1995	21 05 45.09	-18 36 57.5						
CS22898-027	G.W.Preston+,AJ, 122, 1545, 2001	21 05 45.09	-18 36 57.5	6300	4	-2	-2.17		2.07
CS22898-027	K.A.Venn+,AJ, 128, 1177, 2004	21 05 45.09	-18 36 57.5				-2.35		
CS22898-027	D.M.Allen+,AAP, 548, A34, 2012	21 05 45.09	-18 36 57.5	6240	3.72	-2.3	-2.3		2.43
CS22898-027	W.Aoki+,PASJ, 54, 933, 2002	21 05 45.09	-18 36 57.5	6250	3.7	-2.25	-2.26		2.32
CS22898-027	T.Masseron+,ApJ, 751, 14, 2012	21 05 45.09	-18 36 57.5	6000	3.5	-2.49	-2.54	<1.45	2.11
CS22898-027	W.Aoki+,ApJ, 580, 1149, 2002	21 05 45.09	-18 36 57.5	6250	3.7	-2.25	-2.26		
CS22898-043	I.U.Roederer+,AJ, 147, 136, 2014	21 10 36.77	-21 44 51.8	6160	2.15	-2.8	-2.83	0.04	<1.2
CS22898-043	G.W.Preston+,AJ, 132, 85, 2006	21 10 36.77	-21 44 51.8	6050	2.4	-2.5	-2.83		
CS22898-047	I.U.Roederer+,AJ, 147, 136, 2014	21 05 59.65	-21 06 56.6	5150	2.4	-3.45	-3.51	<1.39	0.4
CS22941-012	G.W.Preston+,AJ, 120, 1014, 2000	23 28 29.73	-32 48 46.4	7200	4.2	-2.03	-2.03		
CS22941-012	C.Sneden+,ApJ, 592, 504, 2003	23 28 29.73	-32 48 46.4	7200	4.2	-2.03	-2.03	0.58	<0.99
CS22941-012	I.I.Ivans+,ApJ, 592, 906, 2003	23 28 29.73	-32 48 46.4	7200	4.6	-2.01	-2	<2.93	
CS22941-017	I.U.Roederer+,AJ, 147, 136, 2014	23 32 50.18	-33 59 25.5	5070	2.2	-3.08	-3.11	<0.99	0.17
CS22942-002	I.U.Roederer+,AJ, 147, 136, 2014	00 46 35.88	-24 43 02.3	5010	2	-3.53	-3.61	<1.21	0.35
CS22942-011	I.U.Roederer+,AJ, 147, 136, 2014	00 54 13.00	-25 04 33.9	4930	1.85	-2.83	-2.88	0.83	0.28
CS22942-019	D.Karinkuzhi+,AAP, 645, 61, 2021	00 57 18.14	-25 26 09.71	5100	2.19	-2.5	-2.5		2.22
CS22942-019	T.Masseron+,AAP, 509, A93, 2010	00 57 18.14	-25 26 09.7	5100	2.5	-2.43	-2.48	0.99	2.15
CS22942-019	W.Aoki+,PASJ, 54, 933, 2002	00 57 18.14	-25 26 09.7	5000	2.4	-2.64	-2.64		2.12
CS22942-019	W.Aoki+,ApJ, 580, 1149, 2002	00 57 18.14	-25 26 09.7	5000	2.4	-2.64	-2.64		
CS22942-019	G.W.Preston+,AJ, 122, 1545, 2001	00 57 18.14	-25 26 09.7	4900	1.8	-2.67	-2.67		2.32
CS22942-035	I.U.Roederer+,AJ, 147, 136, 2014	01 03 57.47	-23 52 45.3	4940	1.85	-2.99	-3.08	<0.84	0.22
CS22943-0095	D.Fabbian+,AAP, 500, 1143, 2009	20 27 29.97	-46 50 56.3	6349	4.18	-2.24	-2.29	0.93	0.42
CS22943-095	I.U.Roederer+,AJ, 147, 136, 2014	20 27 29.97	-46 50 56.3	6140	3.8	-2.44	-2.52	0.37	0.45
CS22943-095	P.E.Nissen+,AAP, 469, 319, 2007	20 27 29.97	-46 50 56.3	6349	4.18	-2.24	-2.24		
CS22943-095	A.M.Amarsi+,AAP, 622, L4, 2019	20 27 29.99	-46 50 56.33	6314	4.17	-2.2	-2.2	0.84	0.33
CS22943-132	I.U.Roederer+,MNRAS, 445, 2970, 2014	20 22 50.91	-43 13 39.4	5850	3.6	-2.67	-2.67		
CS22943-132	I.U.Roederer+,AJ, 147, 136, 2014	20 22 50.91	-43 13 39.4	5850	3.6	-2.67	-2.63	<0.47	0.65
CS22943-137	I.U.Roederer+,AJ, 147, 136, 2014	20 26 29.00	-43 00 42.7	5400	3.1	-3.39	-3.64	<1.83	0.64
CS22943-137	K.A.Venn+,AJ, 128, 1177, 2004	20 26 29.00	-43 00 42.7				-3.22		
CS22943-201	I.U.Roederer+,AJ, 147, 136, 2014	20 36 28.81	-43 49 30.2	5970	2.45	-2.69	-2.68	0.24	1.88
CS22943-201	I.U.Roederer+,ApJ, 784, 158, 2014	20 36 28.81	-43 49 30.2	5970	2.45	-2.69	-2.68	0.24	1.88
CS22944-032	I.U.Roederer+,AJ, 147, 136, 2014	21 47 43.23	-13 40 22.8	5090	2.3	-3.15	-3.22	<0.79	0.28
CS22944-032	D.K.Lai+,ApJ, 667, 1185, 2007	21 47 43.23	-13 40 22.8	5528	3.44	-2.64	-2.47		0.61
CS22944-032	D.K.Lai+,ApJ, 681, 1524, 2008	21 47 43.23	-13 40 22.8	5300	2.87	-3	-2.98	0.89	0.4
CS22944-032	D.K.Lai+,AJ, 128, 2402, 2004	21 47 43.23	-13 40 22.8	5528	3.44	-2.5	-2.64		
CS22944-061	I.U.Roederer+,AJ, 147, 136, 2014	21 50 18.45	-13 45 24.0	5920	3.6	-2.95	-2.96	<0.81	0.44
CS22945-017	I.U.Roederer+,MNRAS, 445, 2970, 2014	23 20 55.63	-63 15 36.8	6080	3.7	-2.73	-2.73		
CS22945-017	I.U.Roederer+,AJ, 147, 136, 2014	23 20 55.63	-63 15 36.8	6080	3.7	-2.73	-2.89	0.78	1.94
CS22945-017	T.Masseron+,AAP, 509, A93, 2010	23 20 55.63	-63 15 36.8	6400	3.8	-2.52	-2.57	<2.38	2.29
CS22945-024	I.U.Roederer+,AJ, 147, 136, 2014	23 36 42.49	-65 35 43.7	5120	2.35	-2.59	-2.58	0.88	2.3
CS22945-024	J.A.Johnson+,ApJ, 658, 1203, 2007	23 36 42.49	-65 35 43.7	5289	3.04	-2.26	-2.24		0.81
CS22945-028	P.S.Barklem+,AAP, 439, 129, 2005	23 31 13.50	-66 29 57.0	5126	2.55	-2.66	-2.66		0.16
CS22945-028	I.U.Roederer+,AJ, 147, 136, 2014	23 31 13.50	-66 29 57.0	4900	1.75	-2.89	-2.92	0.84	0.17
CS22945-028	L.Zhang+,AAP, 528, A92, 2011	23 31 13.50	-66 29 57.0				-2.66		0.34
CS22945-028	N.Christlieb+,AAP, 428, 1027, 2004	23 31 13.50	-66 29 57.0			-2.38			
CS22945-028	J.Ren+,AAP, 537, A118, 2012	23 31 13.50	-66 29 57.0	5126	2.55	-2.66	-2.49		0.17
CS22945-031	I.U.Roederer+,AJ, 147, 136, 2014	23 47 31.98	-67 30 35.9	5820	3.55	-3.03	-3.29	<0.93	0.59
CS22945-058	I.U.Roederer+,MNRAS, 445, 2970, 2014	23 52 37.80	-66 05 01.7	5990	3.65	-2.71	-2.71		
CS22945-058	I.U.Roederer+,AJ, 147, 136, 2014	23 52 37.80	-66 05 01.7	5990	3.65	-2.71	-2.98	0.67	<0.95
CS22945-063	I.U.Roederer+,AJ, 147, 136, 2014	00 02 36.99	-65 45 21.2	5730	1.7	-2.84	-2.84	0.04	<0.91
CS22947-187	A.McWilliam+,AJ, 109, 2757, 1995	19 18 31.60	-47 13 31.0	5160	1.3	-2.6	-2.32		0.99
CS22947-187	I.U.Roederer+,AJ, 147, 136, 2014	19 18 31.60	-47 13 31.0	5300	1.4	-2.58	-2.58	0.62	1.25
CS22947-187	J.A.Johnson+,ApJ, 658, 1203, 2007	19 18 31.60	-47 13 31.0	5489	3.44	-2.25	-2.23		0.71
CS22947-187	T.Masseron+,ApJ, 751, 14, 2012	19 18 31.60	-47 13 31.0	5200	1.5	-2.56	-2.61	0.72	1.13
CS22947-187	A.McWilliam+,AJ, 109, 2736, 1995	19 18 31.60	-47 13 31.0						
CS22947-187	K.A.Venn+,AJ, 128, 1177, 2004	19 18 31.60	-47 13 31.0				-2.49		
CS22948-066	S.M.Andrievsky+,AAP, 494, 1083, 2009	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.14		
CS22948-066	A.McWilliam+,AJ, 109, 2757, 1995	21 44 51.10	-37 27 55.0	5020	1.45	-3.1	-2.86		-0.54
CS22948-066	R.Cayrel+,AAP, 416, 1117, 2004	21 44 51.10	-37 27 55.0	5100	1.8	-3.14	-3.15	0.98	0.08
