# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
BD+09_2190	M.Asplund+,ApJ, 644, 229, 2006	09 29 15.56	+08 38 00.5	6392	4.09	-2.66	-2.66	0.49	
BD+09_2190	J.Melendez+,AAP, 515, L3, 2010	09 29 15.56	+08 38 00.5	6479	4.01	-2.64	-2.64		
BD+10_2495	M.N.Ishigaki+,ApJ, 753, 64, 2012	12 59 19.90	+09 14 36.0	4973	2.25	-2.02	-2.02		
BD+10_2495	M.Ishigaki+,PASJ, 62, 143, 2010	12 59 19.90	+09 14 36.0	4819	1.92	-2.17	-2.17		
BD+10_2495	I.U.Roederer+,ApJ, 711, 573, 2010	12 59 19.90	+09 14 36.0	4710	1.3	-2.45	-2.31	0.92	-0.2
BD+10_2495	I.U.Roederer+,AJ, 147, 136, 2014	12 59 19.90	+09 14 36.0	4890	1.85	-2.14	-2.16	0.21	-0.2
BD+10_2495	L.Zhang+,ApJ, 706, 1095, 2009	12 59 19.90	+09 14 36.0	4775	1.9	-2.1			
BD+10_2495	J.A.Johnson+,ApJ, 579, 616, 2002	12 59 19.90	+09 14 36.0						
BD+10_2495	C.Charbonnel+,AAP, 442, 961, 2005	12 59 19.90	+09 14 36.0	4981	3	-1.83			
BD+10_2495	J.A.Johnson+,ApJ, 554, 888, 2001	12 59 19.90	+09 14 36.0	4900	1.9	-2			
BD+10_2495	B.W.Carney+,AJ, 125, 293, 2003	12 59 19.90	+09 14 36.0	4920	2.2	-2.14	-2.14		
BD+10_2495	J.A.Johnson+,ApJS, 139, 219, 2002	12 59 19.90	+09 14 36.0	4900	1.9	-2	-2.06		
BD+13_3683	A.M.Boesgaard+,ApJ, 743, 140, 2011			5502	3.06	-2.38	-2.38	0.86	
BD+13_3683	E.Caffau+,AAP, 441, 533, 2005	18 33 16.80	+13 09 25.0	5726	3.78	-2.43	-2.43		
BD+13_3683	B.W.Carney+,AJ, 125, 293, 2003	18 33 16.80	+13 09 25.0	5540	3.1	-1.9			
BD+17_3248	M.Spite+,AAP, 430, 655, 2005	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07	0.74	-0.28
BD+17_3248	S.M.Andrievsky+,AAP, 509, A88, 2010	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		
BD+17_3248	P.Francois+,AAP, 476, 935, 2007	17 28 14.47	+17 30 35.9	5250	1.4	-2	-2.07		
BD+17_3248	I.U.Roederer+,ApJ, 747, L8, 2012	17 28 14.47	+17 30 35.9	5200	1.8	-2.08	-2.08		
BD+17_3248	J.A.Johnson+,ApJ, 579, 616, 2002	17 28 14.47	+17 30 35.9						
BD+17_3248	J.A.Johnson+,ApJ, 554, 888, 2001	17 28 14.47	+17 30 35.9	5200	1.8	-1.95			
BD+17_3248	J.A.Johnson+,ApJS, 139, 219, 2002	17 28 14.47	+17 30 35.9	5200	1.8	-1.95	-2.09		
BD+17_3248	S.M.Andrievsky+,AAP, 481, 481, 2008	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		
BD+17_3248	S.M.Andrievsky+,AAP, 494, 1083, 2009	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		
BD+17_3248	R.Cayrel+,AAP, 416, 1117, 2004	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.04	0.74	-0.37
