# X Y X1 X2 Y1 Y2
    -3.2     1.92     0.14     0.14        0        0  #J0759+5411 
   -2.71     2.21     0.21     0.21      0.3      0.3  #J0824+3025 
   -3.17     2.06     0.13     0.13        0        0  #J0842-0143 
   -3.04      1.4     0.13     0.13        0        0  #J0854+1405 
   -2.91        2     0.26     0.26     0.33     0.33  #J0949+2707 
   -2.93     2.37     0.13     0.13     0.16     0.16  #J1020+4046 
   -2.93     1.05     0.19     0.19        0        0  #J1028+2625 
   -3.06     1.49     0.21     0.21        0        0  #J1125+1011 
   -3.09     1.12     0.26     0.26        0        0  #J1151-0054 
   -3.01      1.4     0.09     0.09        0        0  #J1214+0453 
    -2.7      1.5     0.17     0.17        0        0  #J1220+1637 
    -3.5      1.6     0.15     0.15        0        0  #J1235+3712 
   -3.83      1.5      0.1      0.1        0        0  #J1253+0753tn 
   -3.26     1.65     0.13     0.13     0.17     0.17  #J1327+0710 
   -3.14     2.14     0.12     0.12        0        0  #J1340+1606 
   -2.97        2     0.25     0.25        0        0  #J1341+5135 
    -3.2      1.4     0.21     0.21     0.27     0.27  #J1345+0024 
   -3.13      1.4      0.2      0.2        0        0  #J1349+1551 
   -2.84     0.96     0.08     0.08     0.13     0.13  #J1415-0435 
   -3.02      1.4     0.13     0.13        0        0  #J1446+3712 
   -3.71      1.6     0.13     0.13        0        0  #J1503-0007 
    -2.8      1.8     0.12     0.12        0        0  #J1544+0901 
   -2.71        1     0.15     0.15     0.19     0.19  #J1656+4714 
   -2.95      1.3      0.2      0.2        0        0  #J1705+0855 
   -3.14      1.5     0.16     0.16     0.24     0.24  #J1741+3231 
   -2.97     1.04     0.08     0.08     0.14     0.14  #J2350+0236 
