# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
CS31088-083	D.K.Lai+,ApJ, 667, 1185, 2007	23 32 36.13	+05 15 29.1	5386	3.26	-1.99	-1.99	0.06		-0.28	-1.82
CS31088-083	D.K.Lai+,AJ, 128, 2402, 2004	23 32 36.13	+05 15 29.1	5386	3.26	-2	-2			-0.11	-1.99
G10-54	I.U.Roederer+,AJ, 147, 136, 2014	11 49 48.20	+06 08 52.1	5210	4.4	-2.3	-2.3	-0.29	<1.25	-0.36	-2.29
G102-20	I.U.Roederer+,ApJ, 724, 975, 2010										-1.25
G102-20	J.Simmerer+,ApJ, 617, 1091, 2004			5254	4.44	-1.25	-1.25	-0.02	0.41		-1.25
G102-27	I.U.Roederer+,ApJ, 724, 975, 2010	05 45 40.38	+14 41 20.1								-0.59
G102-27	J.Simmerer+,ApJ, 617, 1091, 2004	05 45 40.38	+14 41 20.1	5600	2.88	-0.59	-0.59	0.13	0.47		-0.59
G107-50	I.U.Roederer+,AJ, 147, 136, 2014	07 09 52.88	+42 39 13.3	6030	3.85	-1.89	-1.89	0.36	<0.73	-0.2	-2.06
G11-44	A.M.Boesgaard+,ApJ, 743, 140, 2011			5820	3.58	-2.29	-2.29				-2.29
G11-44	P.E.Nissen+,AAP, 469, 319, 2007			6178	4.35	-2.03	-2.03				-2.03
G11-44	J.Melendez+,ApJ, 642, 1082, 2006			6092	4.49	-1.9	-1.9				-2.01
G11-44	J.A.Rich+,ApJ, 701, 1519, 2009			5820	3.58	-2.29	-2.29				-2.29
G11-44	C.J.Akerman+,AAP, 414, 931, 2004			5995	4.29	-2.09	-2.09	0.29			-2.09
G11-44	A.Stephens+,AJ, 123, 1647, 2002			5924	3.82	-2.22	-2.22			-0.56	-2.2
G11-44	C.Charbonnel+,AAP, 442, 961, 2005			6024	4.2	-2.2	-2.2				-2.2
G11-44	D.Fabbian+,AAP, 500, 1143, 2009			6178	4.35	-2.03	-2.03	0.23			-2.08
G11-44	A.M.Boesgaard+,ApJ, 633, 398, 2005			5924	3.82	-2.22	-2.22				-2.2
G11-44	A.M.Amarsi+,AAP, 622, L4, 2019	12 10 55.77	+00 23 54.35	6108	4.41	-1.96	-1.96	0.15			-1.96
G11-44	J.Melendez+,AAP, 515, L3, 2010			6304	4.3	-2.08	-2.08				-2.08
G11-44	P.E.Nissen+,AAP, 415, 993, 2004			5995	4.29	-2.09	-2.09				-2.09
G113-22	A.M.Boesgaard+,ApJ, 743, 140, 2011			5802	3.95	-1.01	-1.01				-1.01
G113-22	I.U.Roederer+,ApJ, 724, 975, 2010	08 16 57.78	+00 01 03.7								-1.18
G113-22	J.Simmerer+,ApJ, 617, 1091, 2004	08 16 57.78	+00 01 03.7	5525	4.25	-1.18	-1.18	0.03	0.53		-1.18
G115-49	A.M.Boesgaard+,ApJ, 743, 140, 2011			5605	3.78	-2.23	-2.23				-2.23
G115-49	I.U.Roederer+,AJ, 147, 136, 2014	09 05 16.68	+38 47 54.6	5420	3.8	-2.6	-2.6	0.02	<0.79	-0.44	-2.61
G115-49	C.Charbonnel+,AAP, 442, 961, 2005	09 05 16.68	+38 47 54.6	5727	5	-2.09	-2.09				-2.09
G122-51	I.U.Roederer+,ApJ, 724, 975, 2010										-1.43
G122-51	J.Simmerer+,ApJ, 617, 1091, 2004			4864	4.51	-1.43	-1.43	0.13	0.64		-1.43
G122-51	A.M.Boesgaard+,ApJ, 633, 398, 2005			5102	4.67	-1.34	-1.34				-1.32
G122-51	A.Stephens+,AJ, 123, 1647, 2002			5102	4.67	-1.34	-1.34			-0.01	-1.31
G122-69	I.U.Roederer+,AJ, 147, 136, 2014	12 03 04.30	+47 19 26.2	6010	3.7	-2.5	-2.5	<0.95	<1.39	-0.5	-2.78
G122-69	S.G.Ryan+,ApJ, 506, 892, 1998	12 03 04.30	+47 19 26.2	6100	4.1	-2.67	-2.67			-0.8	-2.67
G123-9	I.U.Roederer+,ApJ, 724, 975, 2010	12 10 55.36	+44 00 11.8								-1.25
G123-9	J.Simmerer+,ApJ, 617, 1091, 2004	12 10 55.36	+44 00 11.8	5487	4.75	-1.25	-1.25	-0.07	0.52		-1.25
G126-36	I.U.Roederer+,ApJ, 724, 975, 2010	21 48 19.29	+19 58 30.6								-1.06
G126-36	J.Simmerer+,ApJ, 617, 1091, 2004	21 48 19.29	+19 58 30.6	5487	4.5	-1.06	-1.06	0.33	0.58		-1.06
G126-52	E.Arnone+,AAP, 430, 507, 2005	22 04 13.38	+19 32 54.5	6210	3.8						-2.44
G126-52	A.M.Boesgaard+,ApJ, 743, 140, 2011			6182	3.95	-2.36	-2.36				-2.36
G126-52	P.E.Nissen+,AAP, 469, 319, 2007	22 04 13.38	+19 32 54.5	6396	4.2	-2.21	-2.21				-2.21
G126-52	E.Caffau+,AAP, 441, 533, 2005	22 04 13.38	+19 32 54.5								
G126-52	D.Fabbian+,AAP, 500, 1143, 2009	22 04 13.38	+19 32 54.5	6396	4.2	-2.21	-2.21	0.25			-2.26
G126-52	A.M.Amarsi+,AAP, 622, L4, 2019	22 04 13.38	+19 32 54.35	6359	4.16	-2.18	-2.18	0.17			-2.18
G126-62	P.E.Nissen+,AAP, 469, 319, 2007			6224	4.11	-1.55	-1.55				-1.55
G126-62	C.J.Akerman+,AAP, 414, 931, 2004			5943	3.97	-1.64	-1.64	0.23			-1.64
G126-62	P.E.Nissen+,AAP, 390, 235, 2002			5941	3.98	-1.58	-1.58				-1.55
G126-62	I.U.Roederer+,AJ, 147, 136, 2014			5970	3.85	-1.7	-1.7	-0.09	0.46	-0.01	-1.8
G126-62	I.U.Roederer+,ApJ, 724, 975, 2010										-1.59
G126-62	J.Simmerer+,ApJ, 617, 1091, 2004			5941	3.98	-1.59	-1.59	0.13			-1.59
G126-62	D.Fabbian+,AAP, 500, 1143, 2009			6224	4.11	-1.55	-1.55	0.11			-1.6
G126-62	M.Asplund+,ApJ, 644, 229, 2006			6183	4.11	-1.51	-1.51				-1.51
G126-62	A.M.Amarsi+,AAP, 622, L4, 2019	22 11 31.38	+18 05 34.15	6197	4.14	-1.48	-1.48	0			-1.48
G126-62	P.E.Nissen+,AAP, 415, 993, 2004			5943	3.97	-1.64	-1.64				-1.64
G13-9	P.E.Nissen+,AAP, 469, 319, 2007			6343	4.01	-2.29	-2.29				-2.29
G13-9	C.J.Hansen+,AAP, 545, A31, 2012			6416	3.95	-2.27	-2.27				-2.27
G13-9	C.J.Akerman+,AAP, 414, 931, 2004			6360	4.01	-2.27	-2.27	0.31			-2.27
G13-9	P.E.Nissen+,AAP, 390, 235, 2002			6338	4	-2.3	-2.3				-2.27
G13-9	K.F.Tan+,MNRAS, 392, 205, 2009			6270	3.91	-2.28	-2.28				-2.27
G13-9	D.Fabbian+,AAP, 500, 1143, 2009			6343	4.01	-2.29	-2.29	0.39			-2.34
G13-9	M.Asplund+,ApJ, 644, 229, 2006			6298	3.99	-2.3	-2.3				-2.3
G13-9	A.M.Amarsi+,AAP, 622, L4, 2019	12 07 15.07	-05 44 01.61	6330	4	-2.25	-2.25	0.32			-2.25
G13-9	P.E.Nissen+,AAP, 415, 993, 2004			6360	4.01	-2.27	-2.27				-2.27
G137-86	I.U.Roederer+,AJ, 147, 136, 2014	16 10 15.24	+09 08 22.0	5820	3.75	-1.76	-1.76	-0.13	<0.46	-0.28	-1.9
G140-46	I.U.Roederer+,ApJ, 724, 975, 2010										-1.3
G140-46	J.Simmerer+,ApJ, 617, 1091, 2004			4980	4.42	-1.3	-1.3	-0.02	0.37		-1.3
G146-56	I.U.Roederer+,AJ, 147, 136, 2014	10 39 50.49	+42 09 05.2	5290	4.05	-1.57	-1.57	-0.24	<0.55	0	-1.58
G146-76	I.U.Roederer+,AJ, 147, 136, 2014	10 59 57.48	+44 46 43.8	4980	2.1	-2.13	-2.13	-0.16	0.13	-0.17	-2.08
G15-10	I.U.Roederer+,AJ, 147, 136, 2014	15 09 46.02	-04 45 06.6	5050	4.05	-2.54	-2.54	0.19	0.32	-0.41	-2.53
G153-21	A.M.Boesgaard+,ApJ, 743, 140, 2011			6142	4.55	-0.39	-0.39				-0.39
G153-21	M.N.Ishigaki+,ApJ, 753, 64, 2012	16 03 00.17	-06 27 11.2	5566	3.91	-0.66	-0.66				-0.66
G153-21	M.N.Ishigaki+,ApJ, 771, 67, 2013	16 03 00.17	-06 27 11.2	5566	3.91	-0.67	-0.67		0.13	-0.01	-0.67
G153-21	I.U.Roederer+,ApJ, 724, 975, 2010	16 03 00.17	-06 27 11.2								-0.7
G153-21	J.Simmerer+,ApJ, 617, 1091, 2004	16 03 00.17	-06 27 11.2	5700	4.36	-0.7	-0.7	-0.02	0.52		-0.7
G153-64	I.U.Roederer+,AJ, 147, 136, 2014	16 32 30.03	-08 33 38.2	5630	4.15	-1.09	-1.09	-0.1	0.18	0.14	-1.08
G16-13	C.J.Akerman+,AAP, 414, 931, 2004			5602	4.17	-0.76	-0.76	-0.07			-0.76
G16-13	P.E.Nissen+,AAP, 415, 993, 2004			5602	4.17	-0.76	-0.76				-0.76
G16-25	I.U.Roederer+,AJ, 147, 136, 2014	16 01 21.72	+05 23 42.8	5250	4.1	-2.07	-2.07	-0.36	<0.41	0.04	-2.08
G16-25	A.M.Boesgaard+,ApJ, 633, 398, 2005	16 01 21.72	+05 23 42.8	5431	4.28	-1.8	-1.8				-1.78
G16-25	K.A.Venn+,AJ, 128, 1177, 2004	16 01 21.72	+05 23 42.8							-0.11	-1.82
G16-25	A.Stephens+,AJ, 123, 1647, 2002	16 01 21.72	+05 23 42.8	5431	4.28	-1.8	-1.8			-0.11	-1.78
G161-73	P.E.Nissen+,AAP, 511, L10, 2010	09 45 37.82	-04 40 28.2	5986	4	-1	-1				-1
G161-73	I.U.Roederer+,AJ, 147, 136, 2014	09 45 37.82	-04 40 28.2	5680	3.9	-1.07	-1.07	-0.23	0.38	0.29	-1.42
G161-73	P. E. Nissen+,AAP, 530, A15, 2011	09 45 37.82	-04 40 28.2	5986	4	-1	-1			-0.16	-1
G166-47	I.U.Roederer+,AJ, 147, 136, 2014	14 50 02.55	+32 38 56.3	5960	3.7	-2.28	-2.28	0.38	<1.14	-0.09	-2.46
G166-54	P.E.Nissen+,AAP, 469, 319, 2007			6407	4.28	-2.58	-2.58				-2.58
G166-54	D.Fabbian+,AAP, 500, 1143, 2009			6407	4.28	-2.58	-2.58	0.23			-2.63
G166-54	A.M.Amarsi+,AAP, 622, L4, 2019	14 54 10.71	+25 33 48.92	6381	4.25	-2.55	-2.55	0.14			-2.55
G17-25	M.N.Ishigaki+,ApJ, 753, 64, 2012			5174	4.85	-1.11	-1.11				-1.11
G17-25	D.Yong+,ApJ, 599, 1357, 2003			4950	4.5	-1.46	-1.46				-1.46
G17-25	M.N.Ishigaki+,ApJ, 771, 67, 2013			5174	4.85	-1.17	-1.17		0.23	0.28	-1.17
G17-25	I.U.Roederer+,ApJ, 724, 975, 2010										-1.54
G17-25	M.Ishigaki+,PASJ, 62, 143, 2010			5515	5	-0.91	-0.91			0.13	-0.9
G17-25	J.Simmerer+,ApJ, 617, 1091, 2004			4966	4.26	-1.54	-1.54	0.13			-1.54
G170-47	I.U.Roederer+,AJ, 147, 136, 2014			4930	1.85	-2.9	-2.9	-0.01	-0.07	-0.67	-2.93
G170-47	G.Bihain+,AAP, 423, 777, 2004			5154	2.93	-2.66	-2.66				-2.49
G176-53	P.E.Nissen+,AAP, 511, L10, 2010			5523	4.48	-1.34	-1.34				-1.34
G176-53	M.N.Ishigaki+,ApJ, 753, 64, 2012			5753	5	-1.23	-1.23				-1.23
G176-53	M.N.Ishigaki+,ApJ, 771, 67, 2013			5753	5	-1.23	-1.23		0.53	0.12	-1.23
G176-53	I.U.Roederer+,ApJ, 724, 975, 2010										-1.34
G176-53	J.Simmerer+,ApJ, 617, 1091, 2004			5593	4.5	-1.34	-1.34	0.13	0.5		-1.34
G176-53	H.L.Yan+,AAP, 585, 102, 2016			5523	4.48	-1.34	-1.34				-1.34
G176-53	P. E. Nissen+,AAP, 530, A15, 2011			5523	4.48	-1.34	-1.34			-0.31	-1.34
G179-22	I.U.Roederer+,ApJ, 724, 975, 2010	15 14 26.18	+33 00 38.3								-1.35
G179-22	J.Simmerer+,ApJ, 617, 1091, 2004	15 14 26.18	+33 00 38.3	5082	3.2	-1.35	-1.35	-0.07	0.61		-1.35
G18-39	P.E.Nissen+,AAP, 511, L10, 2010			6040	4.21	-1.39	-1.39				-1.39
G18-39	P.E.Nissen+,AAP, 469, 319, 2007			6093	4.19	-1.46	-1.46				-1.46
G18-39	Y.Takeda+,PASJ, 63, S537, 2011			6093	4.19	-1.46	-1.46				-1.46
G18-39	C.J.Akerman+,AAP, 414, 931, 2004			5910	4.09	-1.52	-1.52	0.38			-1.52
G18-39	D.Fabbian+,AAP, 500, 1143, 2009			6093	4.19	-1.46	-1.46	0.31			-1.51
G18-39	H.L.Yan+,AAP, 585, 102, 2016			6040	4.21	-1.39	-1.39				-1.39
G18-39	A.M.Amarsi+,AAP, 622, L4, 2019	22 18 36.51	+08 26 44.95	6048	4.25	-1.35	-1.35	0.18			-1.35
G18-39	P. E. Nissen+,AAP, 530, A15, 2011			6040	4.21	-1.39	-1.39			-0.07	-1.39
G18-39	P.E.Nissen+,AAP, 415, 993, 2004			5910	4.09	-1.52	-1.52				-1.52
G180-24	P.E.Nissen+,AAP, 511, L10, 2010			6004	4.21	-1.39	-1.39				-1.39
G180-24	A.M.Boesgaard+,ApJ, 743, 140, 2011			6008	3.77	-1.44	-1.44				-1.44
G180-24	I.U.Roederer+,ApJ, 724, 975, 2010										-1.34
G180-24	J.Simmerer+,ApJ, 617, 1091, 2004			6059	4.09	-1.34	-1.34	-0.32	0.24		-1.34
G180-24	H.L.Yan+,AAP, 585, 102, 2016			6004	4.21	-1.39	-1.39				-1.39
G180-24	A.M.Boesgaard+,ApJ, 633, 398, 2005			6108	4.12	-1.38	-1.38				-1.36
G180-24	A.Stephens+,AJ, 123, 1647, 2002			6108	4.12	-1.38	-1.38			0.26	-1.37
G180-24	P. E. Nissen+,AAP, 530, A15, 2011			6004	4.21	-1.39	-1.39			-0.23	-1.39
G180-58	I.U.Roederer+,AJ, 147, 136, 2014	16 28 16.87	+44 40 38.3	4980	4.4	-2.62	-2.62	0.38	<0.65	-0.51	-2.6
G186-26	A.M.Boesgaard+,ApJ, 633, L125, 2005			6200	4.48	-2.71	-2.71				-2.7
G186-26	I.U.Roederer+,AJ, 147, 136, 2014			5950	3.65	-2.9	-2.9	0.55	<1.29	0.21	-3.07
G186-26	P.E.Nissen+,AAP, 469, 319, 2007			6417	4.42	-2.54	-2.54				-2.54
G186-26	D.Fabbian+,AAP, 500, 1143, 2009			6417	4.42	-2.54	-2.54	0.31			-2.59
G186-26	C.J.Akerman+,AAP, 414, 931, 2004			6273	4.25	-2.62	-2.62	0.33			-2.62
G186-26	A.M.Amarsi+,AAP, 622, L4, 2019	20 24 45.41	+25 03 07.09	6379	4.24	-2.56	-2.56	0.21			-2.56
G186-26	P.E.Nissen+,AAP, 415, 993, 2004			6273	4.25	-2.62	-2.62				-2.62
G188-22	P.E.Nissen+,AAP, 511, L10, 2010	21 43 57.12	+27 23 24.0	5974	4.18	-1.32	-1.32				-1.32
G188-22	A.M.Boesgaard+,ApJ, 743, 140, 2011			5975	3.72	-1.35	-1.35				-1.35
G188-22	M.N.Ishigaki+,ApJ, 753, 64, 2012	21 43 57.12	+27 23 24.0	6170	4.52	-1.27	-1.27				-1.27
G188-22	J.R.Shi+,AAP, 465, 587, 2007	21 43 57.12	+27 23 24.0	6040	4.37	-1.25	-1.25				-1.24
G188-22	I.U.Roederer+,AJ, 147, 136, 2014	21 43 57.12	+27 23 24.0	5890	3.9	-1.44	-1.44	-0.01	0.18	0.36	-1.5
G188-22	M.N.Ishigaki+,ApJ, 771, 67, 2013	21 43 57.12	+27 23 24.0	6170	4.52	-1.26	-1.26		0.33	0.32	-1.26
G188-22	I.U.Roederer+,ApJ, 724, 975, 2010	21 43 57.12	+27 23 24.0								-1.52
G188-22	J.Simmerer+,ApJ, 617, 1091, 2004	21 43 57.12	+27 23 24.0	5827	4.27	-1.52	-1.52	-0.17	0.4		-1.52
G188-22	H.L.Yan+,AAP, 585, 102, 2016	21 43 57.12	+27 23 24.0	5974	4.18	-1.32	-1.32				-1.32
G188-22	P. E. Nissen+,AAP, 530, A15, 2011	21 43 57.12	+27 23 24.0	5974	4.18	-1.32	-1.32			-0.02	-1.32
G188-30	I.U.Roederer+,AJ, 147, 136, 2014	21 55 16.10	+32 38 41.0	5090	4.3	-2.07	-2.07	-0.31	<0.16	-0.01	-2.05
G188-30	M.N.Ishigaki+,ApJ, 753, 64, 2012	21 55 16.10	+32 38 41.0	5379	5	-1.63	-1.63				-1.63
G188-30	M.N.Ishigaki+,ApJ, 771, 67, 2013	21 55 16.10	+32 38 41.0	5379	5	-1.64	-1.64		0.18	0.03	-1.64
G188-30	M.Ishigaki+,PASJ, 62, 143, 2010	21 55 16.10	+32 38 41.0	5326	5	-1.62	-1.62			-0.22	-1.61
G188-30	A.M.Boesgaard+,ApJ, 633, 398, 2005	21 55 16.10	+32 38 41.0	5141	4.44	-1.89	-1.89				-1.87
G188-30	A.Stephens+,AJ, 123, 1647, 2002	21 55 16.10	+32 38 41.0	5141	4.44	-1.89	-1.89			-0.13	-1.86
G19-25	D.Yong+,ApJ, 599, 1357, 2003	17 25 59.00	-02 44 27.6	4900	4.5	-2.01	-2.01				-2.01
G19-25	W.Aoki+,ApJ, 723, L201, 2010	17 25 59.00	-02 44 27.6	4900	4.6	-1.9	-1.9	-0.26		-0.17	-1.87
G190-10	I.U.Roederer+,AJ, 147, 136, 2014	23 07 59.75	+41 51 20.4	5230	4.35	-1.94	-1.94	-0.12	0.16	-0.02	-1.95
G190-15	I.U.Roederer+,AJ, 147, 136, 2014	23 13 38.82	+39 25 02.6	4950	3.85	-3.13	-3.13	0.44	<0.46	-1.21	-3.12
G191-55	A.M.Boesgaard+,ApJ, 743, 140, 2011			5828	4.11	-1.81	-1.81				-1.81
G191-55	I.U.Roederer+,ApJ, 724, 975, 2010	05 57 28.59	+58 40 48.6								-1.63
G191-55	J.Simmerer+,ApJ, 617, 1091, 2004	05 57 28.59	+58 40 48.6	5770	4.5	-1.63	-1.63	0.08	0.22		-1.63
G192-43	S.G.Ryan+,ApJ, 549, 55, 2001	06 47 44.93	+58 38 34.5	6130		-1.43	-1.43				-1.43
G192-43	P.E.Nissen+,AAP, 511, L10, 2010	06 47 44.93	+58 38 34.5	6170	4.29	-1.34	-1.34				-1.34
G192-43	A.M.Boesgaard+,ApJ, 743, 140, 2011			6140	3.78	-1.42	-1.42				-1.42
G192-43	C.Charbonnel+,AAP, 442, 961, 2005	06 47 44.93	+58 38 34.5	6112	3.85	-1.46	-1.46				-1.46
G192-43	I.U.Roederer+,ApJ, 724, 975, 2010	06 47 44.93	+58 38 34.5								-1.5
G192-43	J.Simmerer+,ApJ, 617, 1091, 2004	06 47 44.93	+58 38 34.5	6085	3.73	-1.5	-1.5	0.25	0.73		-1.5
G192-43	J.Melendez+,AAP, 515, L3, 2010	06 47 44.93	+58 38 34.5	6298	4.39	-1.39	-1.39				-1.39
G192-43	P. E. Nissen+,AAP, 530, A15, 2011	06 47 44.93	+58 38 34.5	6170	4.29	-1.34	-1.34			-0.22	-1.34
G199-66	I.U.Roederer+,AJ, 147, 136, 2014	13 20 31.28	+56 34 48.3	5560	3.45	-2.34	-2.34	0.03	<0.62	-0.87	-2.14
G20-8	M.Bergemann+,AAP, 492, 823, 2008			6115	4.2	-2.19	-2.19				-2.19
G20-8	P.E.Nissen+,AAP, 469, 319, 2007			6194	4.29	-2.19	-2.19				-2.19
G20-8	J.R.Shi+,AAP, 465, 587, 2007			6115	4.2	-2.19	-2.19				-2.18
G20-8	C.J.Akerman+,AAP, 414, 931, 2004			5855	4.16	-2.28	-2.28	0.51			-2.28
G20-8	A.Stephens+,AJ, 123, 1647, 2002			5960	4.04	-2.34	-2.34			-0.34	-2.33
G20-8	M.Bergemann+,MNRAS, 401, 1334, 2010			6115	4.2	-2.19	-2.19				-2.19
G20-8	D.Fabbian+,AAP, 500, 1143, 2009			6194	4.29	-2.19	-2.19	0.35			-2.24
G20-8	T.Gehren+,AAP, 451, 1065, 2006			6115	4.2	-2.19	-2.19				-2.18
G20-8	A.M.Boesgaard+,ApJ, 633, 398, 2005			5960	4.04	-2.34	-2.34				-2.32
G20-8	A.M.Amarsi+,AAP, 622, L4, 2019	17 39 45.60	+02 24 59.62	6125	4.38	-2.11	-2.11	0.28			-2.11
G20-8	P.E.Nissen+,AAP, 415, 993, 2004			5855	4.16	-2.28	-2.28				-2.28
G201-44	I.U.Roederer+,AJ, 147, 136, 2014	15 13 57.36	+53 51 51.7	6000	3.9	-1.63	-1.63	-0.06	0.34	0.13	-1.72
G206-34	A.M.Boesgaard+,ApJ, 743, 140, 2011			5825	3.99	-3.12	-3.12				-3.12
G206-34	I.U.Roederer+,AJ, 147, 136, 2014	18 35 19.17	+28 41 55.4	5930	3.6	-3.13	-3.13	0.58	<1.12	-0.02	-3.17
G206-34	C.Charbonnel+,AAP, 442, 961, 2005	18 35 19.17	+28 41 55.4	6217	4.5	-2.96	-2.96				-2.96
G206-34	J.A.Rich+,ApJ, 701, 1519, 2009	18 35 19.17	+28 41 55.4	5825	3.99	-3.12	-3.12				-3.12
G214-1	I.U.Roederer+,AJ, 147, 136, 2014	21 47 55.63	+33 06 27.2	5370	4.05	-2.29	-2.29	-0.12	0.56	0.27	-2.29
G221-7	I.U.Roederer+,ApJ, 724, 975, 2010	03 18 38.50	+72 16 30.4								-0.98
G221-7	J.Simmerer+,ApJ, 617, 1091, 2004	03 18 38.50	+72 16 30.4	5016	3.37	-0.98	-0.98	0.23	0.35		-0.98
G23-14	M.N.Ishigaki+,ApJ, 753, 64, 2012	19 51 49.61	+05 36 45.8	5061	3.08	-1.47	-1.47				-1.47
G23-14	M.N.Ishigaki+,ApJ, 771, 67, 2013	19 51 49.61	+05 36 45.8	5061	3.08	-1.48	-1.48		0.42	0.05	-1.48
G23-14	I.U.Roederer+,ApJ, 724, 975, 2010	19 51 49.61	+05 36 45.8								-1.64
G23-14	J.Simmerer+,ApJ, 617, 1091, 2004	19 51 49.61	+05 36 45.8	5025	4.02	-1.64	-1.64	-0.02	0.54		-1.64
G234-28	I.U.Roederer+,AJ, 147, 136, 2014	08 14 16.33	+68 55 19.5	5870	3.75	-1.78	-1.78	-0.06	0.38	-0.14	-1.8
G238-30	M.N.Ishigaki+,ApJ, 753, 64, 2012	13 17 40.24	+64 15 12.4	6154	5	-2.92	-2.92				-2.92
G238-30	M.Ishigaki+,PASJ, 62, 143, 2010	13 17 40.24	+64 15 12.4	5299	3.39	-3.72	-3.72				-3.77
G238-30	K.A.Venn+,AJ, 128, 1177, 2004	13 17 40.24	+64 15 12.4								-3.6
G238-30	A.Stephens+,AJ, 123, 1647, 2002	13 17 40.24	+64 15 12.4	5383	3.43	-3.6	-3.6				-3.59
G238-30	L.Zhang+,ApJ, 706, 1095, 2009	13 17 40.24	+64 15 12.4	5490	3.57	-3.44	-3.44				-3.27
G238-30	I.U.Roederer+,AJ, 147, 136, 2014	13 17 40.24	+64 15 12.4	5740	3.5	-3.4	-3.4	<1.15	<1.93	<-0.59	-3.38
G238-30	M.N.Ishigaki+,ApJ, 771, 67, 2013	13 17 40.24	+64 15 12.4	6154	5	-2.92	-2.92				-2.92
G238-30	A.M.Boesgaard+,ApJ, 633, 398, 2005	13 17 40.24	+64 15 12.4	5383	3.43	-3.6	-3.6				-3.58
G238-32	I.U.Roederer+,AJ, 147, 136, 2014	13 22 02.01	+68 40 22.6	5380	4.35	-1.58	-1.58	-0.41	0.48	0.07	-1.59
G24-3	A.M.Boesgaard+,ApJ, 743, 140, 2011			6000	3.98	-1.62	-1.62				-1.62
G24-3	M.N.Ishigaki+,ApJ, 753, 64, 2012	20 05 44.32	+04 02 52.8	6180	4.62	-1.4	-1.4				-1.4
G24-3	P.E.Nissen+,AAP, 469, 319, 2007	20 05 44.32	+04 02 52.8	6084	4.23	-1.62	-1.62				-1.62
G24-3	J.Melendez+,ApJ, 642, 1082, 2006	20 05 44.32	+04 02 52.8	6077	4.41	-1.4	-1.4				-1.58
G24-3	C.J.Akerman+,AAP, 414, 931, 2004	20 05 44.32	+04 02 52.8	5910	4.16	-1.67	-1.67	-0.05			-1.67
G24-3	M.N.Ishigaki+,ApJ, 771, 67, 2013	20 05 44.32	+04 02 52.8	6180	4.62	-1.4	-1.4		0.28	0.16	-1.4
G24-3	C.Charbonnel+,AAP, 442, 961, 2005	20 05 44.32	+04 02 52.8	5925	4	-1.71	-1.71				-1.71
G24-3	D.Fabbian+,AAP, 500, 1143, 2009	20 05 44.32	+04 02 52.8	6084	4.23	-1.62	-1.62	-0.11			-1.67
G24-3	A.M.Amarsi+,AAP, 622, L4, 2019	20 05 44.32	+04 02 52.80	6027	4.35	-1.5	-1.5	-0.2			-1.5
G24-3	J.Melendez+,AAP, 515, L3, 2010	20 05 44.32	+04 02 52.8	6118	4.27	-1.59	-1.59				-1.59
G24-3	P.E.Nissen+,AAP, 415, 993, 2004	20 05 44.32	+04 02 52.8	5910	4.16	-1.67	-1.67				-1.67
G25-22	I.U.Roederer+,AJ, 147, 136, 2014	21 14 48.47	+11 00 30.2	5350	3.95	-2.33	-2.33	-0.25	<0.69	-0.29	-2.33
G25-24	I.U.Roederer+,AJ, 147, 136, 2014	21 16 41.64	-01 18 08.8	5670	3.55	-2.28	-2.28	0.08	<0.53	-0.27	-2.11
G25-24	M.N.Ishigaki+,ApJ, 753, 64, 2012	21 16 41.64	-01 18 08.8	6083	5	-1.6	-1.6				-1.6
G25-24	M.N.Ishigaki+,ApJ, 771, 67, 2013	21 16 41.64	-01 18 08.8	6083	5	-1.61	-1.61		0.63	0.12	-1.61
G25-24	M.Ishigaki+,PASJ, 62, 143, 2010	21 16 41.64	-01 18 08.8	5594	4.07	-2.02	-2.02			-0.2	-2.07
G25-24	A.M.Boesgaard+,ApJ, 633, 398, 2005	21 16 41.64	-01 18 08.8	5733	3.98	-1.88	-1.88				-1.86
G25-24	K.A.Venn+,AJ, 128, 1177, 2004	21 16 41.64	-01 18 08.8							0.03	-1.96
G25-24	A.Stephens+,AJ, 123, 1647, 2002	21 16 41.64	-01 18 08.8	5733	3.98	-1.88	-1.88			0.02	-1.86
G26-1	I.U.Roederer+,AJ, 147, 136, 2014	21 26 47.83	-08 23 56.1	5860	3.75	-1.94	-1.94	0.07	0.39	-0.08	-2.08
G28-43	I.U.Roederer+,ApJ, 724, 975, 2010	23 09 32.94	+00 42 38.6								-1.64
G28-43	J.Simmerer+,ApJ, 617, 1091, 2004	23 09 32.94	+00 42 38.6	5061	4.5	-1.64	-1.64	0.03	0.59		-1.64
G29-23	P.E.Nissen+,AAP, 469, 319, 2007			6194	4.04	-1.69	-1.69				-1.69
G29-23	D.Fabbian+,AAP, 500, 1143, 2009			6194	4.04	-1.69	-1.69	0.13			-1.74
G29-23	Y.Takeda+,PASJ, 63, S537, 2011			6194	4.04	-1.69	-1.69				-1.69
G29-23	C.J.Akerman+,AAP, 414, 931, 2004			5966	3.82	-1.8	-1.8	0.22			-1.8
G29-23	A.M.Amarsi+,AAP, 622, L4, 2019	23 19 40.45	+03 22 16.68	6166	4.06	-1.62	-1.62	0.02			-1.62
G29-23	P.E.Nissen+,AAP, 415, 993, 2004			5966	3.82	-1.8	-1.8				-1.8
G29-25	I.U.Roederer+,ApJ, 724, 975, 2010	23 22 18.16	+12 09 33.6								-1.09
