# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
2MASSJ14571988+1751501	C.L.Kielty+,MNRAS, 471, 404, 2017	14 57 19.88	+17 51 50.2	4566	1.35	-1.9	-1.9	0.9			-1.9
2MASSJ15153684+3501283	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	15 15 36.8380645167	+35 01 28.385786950	4379.2	1.808	-0.99	-0.99	0.13			-1.04
2MASSJ15312547+4220551	C.L.Kielty+,MNRAS, 471, 404, 2017	15 31 25.48	+42 20 55.1	4068	-0.15	-2.08	-2.08	0.83			-2.08
2MASSJ16092248+2449223	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	16 09 22.48080	+24 49 22.3896	4095.6	1.237	-1.14	-1.14	-0.16			-1.16
2MASSJ16300629-1252459	C.L.Kielty+,MNRAS, 471, 404, 2017	16 30 06.29	-12 52 45.9	4539	0.99	-1.95	-1.95	1.04			-1.95
2MASSJ16300791+2537503	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	16 30 07.91976	+25 37 50.3724	4785.8	2.169	-1.09	-1.09	0.02			-1.09
2MASSJ16303581+0953170	M.K.Mardini+,ApJ, 882, 27, 2019	16 30 35.82	+09 53 17.0	4783	1.02	-2.94	-2.94	0.64	0.07	-0.19	-2.94
2MASSJ16334467-1343201	C.L.Kielty+,MNRAS, 471, 404, 2017	16 33 44.67	-13 43 20.1	4288	0.23	-2.1	-2.1	1.01			-2.1
2MASSJ16385680+3635073	C.L.Kielty+,MNRAS, 471, 404, 2017	16 38 56.81	+36 35 07.4	4561	1.46	-1.84	-1.84	1			-1.84
2MASSJ16482145-1930487	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	16 48 21.45792	-19 30 48.7116	4377.4	1.741	-0.96	-0.96	0.13			-1.04
2MASSJ16562103+1002085	C.L.Kielty+,MNRAS, 471, 404, 2017	16 56 21.04	+10 02 08.6	4376	0.93	-1.98	-1.98	1			-1.98
2MASSJ17155274+2907368	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	17 15 52.74336	+29 07 36.8112	4313.9	1.601	-1.07	-1.07	0.02			-1.12
2MASSJ17214096+4246147	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	17 21 40.96032	+42 46 14.7468	4439	1.614	-1.11	-1.11	-0.15			-1.13
2MASSJ17502038-2805411	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	17 50 20.38320	-28 05 41.1036	3775	0.487	-1.09	-1.09	-0.13			-1.14
