# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     2
# --------------------------------------------------------------------------------------                            2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# number of EEPs, cols =   375   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  271         1.3500000000000061E+010         1.4233055735449723E-001         1.4232698735373409E-001        -2.7052787197906837E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2115593293208260E+000        -2.2112588282713346E+000        -6.7764177986566423E+001         3.6237558847324882E+000        -8.3061428194327525E-001         5.2484446944512637E+000         7.3636792420061714E-001         1.3908363854347284E-002         2.4972228337654959E-001         2.4965185027878491E-007         6.1088824358329301E-007         6.7653231609337148E+000         2.5391219030465093E+000         3.0634469741018117E-001         7.3636792397887563E-001         2.4972228358417548E-001         2.4965185052043478E-007         0.0000000000000000E+000
  272         1.3500000000000061E+010         1.4575957443013643E-001         1.4575573862134578E-001        -2.8622183423570596E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1775812269902337E+000        -2.1772873964708377E+000        -6.7315966289718432E+001         3.6257641458592258E+000        -8.1764175303145414E-001         5.2343367828434175E+000         7.3589979819859896E-001         1.4198548151088199E-002         2.4990022508168624E-001         2.4965159175555865E-007         6.1088824358819680E-007         6.7732366498169476E+000         2.5127174108713071E+000         2.9243000727420670E-001         7.3589979797689931E-001         2.4990022528927114E-001         2.4965159199592907E-007         0.0000000000000000E+000
  273         1.3500000000000061E+010         1.5127495361951698E-001         1.5127078101595165E-001        -3.1271720381384596E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1381888257403516E+000        -2.1379031552543077E+000        -6.6882889632812706E+001         3.6278442214668605E+000        -8.0210570362178313E-001         5.2190209009115094E+000         7.3556507941938842E-001         1.4239147149565430E-002         2.5019434486223735E-001         2.4965049260920685E-007         6.1088824360783695E-007         6.7811109499901141E+000         2.4826617211125992E+000         2.7969548391870597E-001         7.3556507919888703E-001         2.5019434506898319E-001         2.4965049284738595E-007         0.0000000000000000E+000
  274         1.3500000000000061E+010         1.5663898358040912E-001         1.5663446029531883E-001        -3.3872521662808787E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0999968795210955E+000        -2.0997210699699629E+000        -6.6469494258020404E+001         3.6298474964276881E+000        -7.8701628043380989E-001         5.2041398537769918E+000         7.3526204921626093E-001         1.4222815534143724E-002         2.5051370668061024E-001         2.4964935150493158E-007         6.1088824362733025E-007         6.7886450844260207E+000         2.4534616408932255E+000         2.6745694552872828E-001         7.3526204899669401E-001         2.5051370688682706E-001         2.4964935174125663E-007         0.0000000000000000E+000
  275         1.3500000000000061E+010         1.6482682605644589E-001         1.6482181967687565E-001        -3.7920542562888567E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0520790693532462E+000        -2.0518189405195235E+000        -6.6022591075713962E+001         3.6321271309098688E+000        -7.6761664431424914E-001         5.1865064747505389E+000         7.3512909104645974E-001         1.3833466591747737E-002         2.5103601379275275E-001         2.4964708254533434E-007         6.1088824366548114E-007         6.7970096591645337E+000         2.4174115990194567E+000         2.5513033346231373E-001         7.3512909082891076E-001         2.5103601399785791E-001         2.4964708277900934E-007         0.0000000000000000E+000
  276         1.3500000000000061E+010         1.7418846794217674E-001         1.7418290067991138E-001        -4.2582221234279785E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0012901681250539E+000        -2.0010490651861912E+000        -6.5578405775769795E+001         3.6344257746881312E+000        -7.4681948125667641E-001         5.1683040973560601E+000         7.3512870497743399E-001         1.3187760327616781E-002         2.5168210612569192E-001         2.4964417098470295E-007         6.1088824371200866E-007         6.8054215051790683E+000         2.3794609850910846E+000         2.4339239534433951E-001         7.3512870476185688E-001         2.5168210633001559E-001         2.4964417121612341E-007         0.0000000000000000E+000
  277         1.3500000000000061E+010         1.8336166213530658E-001         1.8335550128477540E-001        -4.7170004443900920E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.9517121852565347E+000        -1.9514925706739583E+000        -6.5144305548572731E+001         3.6366508440742455E+000        -7.2648062859464557E-001         5.1505474273147014E+000         7.3518038188012458E-001         1.2438023671691296E-002         2.5238016587857848E-001         2.4964115039180302E-007         6.1088824375781684E-007         6.8136303569163932E+000         2.3423893538708698E+000         2.3193285815631334E-001         7.3518038166581767E-001         2.5238016608289338E-001         2.4964115062184283E-007         0.0000000000000000E+000
  278         1.3500000000000061E+010         1.9256663335815152E-001         1.9255987970135086E-001        -5.1703476086313982E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.9063131758925933E+000        -1.9061155776486616E+000        -6.4738155924332361E+001         3.6385155913342997E+000        -7.0751061843278251E-001         5.1344001443042941E+000         7.3527115020481926E-001         1.1658718506801533E-002         2.5306870271838611E-001         2.4963695269350580E-007         6.1088824382617028E-007         6.8212877730154435E+000         2.3082244748329916E+000         2.2167521701500015E-001         7.3527114999151966E-001         2.5306870292285205E-001         2.4963695292262636E-007         0.0000000000000000E+000
  279         1.3500000000000061E+010         2.0165225796554812E-001         2.0164490273403712E-001        -5.6136410478626303E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8639912497676927E+000        -1.8638152549199916E+000        -6.4351740513140172E+001         3.6401489561221947E+000        -6.8961638494612298E-001         5.1194614131577634E+000         7.3539944981988925E-001         1.0838794279134641E-002         2.5376032733069742E-001         2.4963199948604629E-007         6.1088824390865308E-007         6.8285463890056359E+000         2.2762891393713169E+000         2.1224245102676037E-001         7.3539944960732972E-001         2.5376032753552502E-001         2.4963199971470305E-007         0.0000000000000000E+000
  280         1.3500000000000061E+010         2.1011690178214648E-001         2.1010898876056355E-001        -6.0221876902976082E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8276829934979184E+000        -1.8275276436108068E+000        -6.4013483433930119E+001         3.6414089845989359E+000        -6.7398231376471751E-001         5.1067329627604732E+000         7.3553165273265586E-001         1.0089050761735387E-002         2.5437786793499856E-001         2.4962632774673462E-007         6.1088824400634086E-007         6.8348856052924427E+000         2.2487095479804697E+000         2.0435408822696188E-001         7.3553165252093078E-001         2.5437786813994029E-001         2.4962632797509301E-007         0.0000000000000000E+000
  281         1.3500000000000061E+010         2.1861286198277310E-001         2.1860445426349950E-001        -6.4160317552240621E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7986814148475512E+000        -1.7985422371057858E+000        -6.3721344392048678E+001         3.6420773890406921E+000        -6.6081833332304640E-001         5.0968714780035365E+000         7.3564874582870021E-001         9.4910367062695233E-003         2.5485878889371139E-001         2.4961832636799050E-007         6.1088824415445187E-007         6.8403185889171727E+000         2.2263469605309449E+000         1.9856514334600742E-001         7.3564874561924398E-001         2.5485878909710896E-001         2.4961832659509729E-007         0.0000000000000000E+000
  282         1.3500000000000061E+010         2.2682282861050368E-001         2.2681391683659741E-001        -6.7965759638821516E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7707683360077899E+000        -1.7706446727533223E+000        -6.3436507490950056E+001         3.6427229898985800E+000        -6.4815299561894157E-001         5.0874529877620223E+000         7.3578174131861673E-001         8.8798816503938682E-003         2.5533694845892929E-001         2.4961010467380399E-007         6.1088824430707154E-007         6.8455992029632542E+000         2.2049045875797093E+000         1.9298300069328683E-001         7.3578174111163519E-001         2.5533694866059592E-001         2.4961010489956702E-007         0.0000000000000000E+000
  283         1.3500000000000061E+010         2.3460338168892308E-001         2.3459396785211484E-001        -7.1577347135396414E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7443966520817056E+000        -1.7442880878186680E+000        -6.3164926930666375E+001         3.6433344205527707E+000        -6.3619001496428040E-001         5.0786069533376557E+000         7.3592481019047562E-001         8.2739204049383785E-003         2.5579984083180857E-001         2.4960182447632618E-007         6.1088824446118940E-007         6.8506222583877019E+000         2.1847044336162398E+000         1.8770343470890793E-001         7.3592480998610355E-001         2.5579984103159903E-001         2.4960182470067562E-007         0.0000000000000000E+000
  284         1.3500000000000061E+010         2.4257904466497981E-001         2.4256910733959430E-001        -7.5259419925973401E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7185767327205441E+000        -1.7184807567322546E+000        -6.2890509293903307E+001         3.6439400701286639E+000        -6.2449135443548609E-001         5.0701669545666377E+000         7.3606040701415032E-001         7.6663468166407005E-003         2.5627181759563694E-001         2.4959196608307126E-007         6.1088824465005953E-007         6.8556651549204517E+000         2.1651797067800942E+000         1.8262374065772213E-001         7.3606040681204021E-001         2.5627181779388941E-001         2.4959196630591022E-007         0.0000000000000000E+000
  285         1.3500000000000061E+010         2.5011009767327863E-001         2.5009966055381161E-001        -7.8738308135482061E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6951722256387423E+000        -1.6950872362824732E+000        -6.2637728560154216E+001         3.6444930815566372E+000        -6.1389512375053124E-001         5.0626546401765209E+000         7.3616940187928082E-001         7.1250752469168765E-003         2.5670409429927976E-001         2.4958124263484049E-007         6.1088824485950537E-007         6.8602950049781413E+000         2.1476423497170294E+000         1.7811754579141081E-001         7.3616940167874745E-001         2.5670409449660297E-001         2.4958124285642696E-007         0.0000000000000000E+000
  286         1.3500000000000061E+010         2.5711847160295576E-001         2.5710756104645183E-001        -8.1983672418210046E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6739479635340218E+000        -1.6738732509040912E+000        -6.2406422131548410E+001         3.6449968090987084E+000        -6.0429044778231478E-001         5.0559215658772843E+000         7.3626276831361126E-001         6.6389252378291968E-003         2.5709687787301139E-001         2.4957014255456159E-007         6.1088824507848160E-007         6.8645230755253595E+000         2.1318317680123360E+000         1.7409225258171052E-001         7.3626276811422942E-001         2.5709687806976406E-001         2.4957014277510854E-007         0.0000000000000000E+000
  287         1.3500000000000061E+010         2.6338181978013520E-001         2.6337052639131686E-001        -8.4902573875428282E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6574457707718877E+000        -1.6573787466827365E+000        -6.2222840366022041E+001         3.6453954876561694E+000        -5.9683670851616888E-001         5.0509326115575792E+000         7.3625125788544699E-001         6.3563819001599860E-003         2.5739093163784638E-001         2.4955719612625636E-007         6.1088824534612686E-007         6.8678661120767064E+000         2.1198379620352270E+000         1.7127660540596945E-001         7.3625125768483546E-001         2.5739093183611716E-001         2.4955719634674412E-007         0.0000000000000000E+000
  288         1.3500000000000061E+010         2.6999492836192840E-001         2.6998322031596400E-001        -8.7957174672389970E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6401377876296332E+000        -1.6400770926543826E+000        -6.2025870412142154E+001         3.6458167380937079E+000        -5.8902521782011830E-001         5.0457820523415231E+000         7.3625723433041346E-001         6.0434059709116340E-003         2.5769793112113271E-001         2.4954257893725400E-007         6.1088824564823958E-007         6.8714395147658296E+000         2.1073499315556790E+000         1.6830914461156826E-001         7.3625723412864486E-001         2.5769793132084634E-001         2.4954257915750909E-007         0.0000000000000000E+000
  289         1.3500000000000061E+010         2.7628257816734758E-001         2.7627046745415040E-001        -9.0864225989790434E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6237004989374677E+000        -1.6236461366634702E+000        -6.1838402042437551E+001         3.6462172480943069E+000        -5.8160759347523505E-001         5.0409038612330264E+000         7.3627398268544009E-001         5.7436439755190888E-003         2.5798094476042127E-001         2.4952773487922234E-007         6.1088824595452373E-007         6.8748391900729136E+000         2.0955049209595851E+000         1.6549097423860767E-001         7.3627398248262765E-001         2.5798094496145063E-001         2.4952773509926864E-007         0.0000000000000000E+000
  290         1.3500000000000061E+010         2.8227549434189286E-001         2.8226299230472629E-001        -9.3637563230686342E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6080526516753344E+000        -1.6080046259468981E+000        -6.1659538531569865E+001         3.6465989544931006E+000        -5.7454708264175425E-001         5.0362731876561053E+000         7.3630141066214216E-001         5.4557818993770848E-003         2.5824137885870713E-001         2.4951266719310054E-007         6.1088824626496851E-007         6.8780815363235810E+000         2.0842435045315306E+000         1.6280813137814509E-001         7.3630141045839248E-001         2.5824137906093286E-001         2.4951266741295747E-007         0.0000000000000000E+000
  291         1.3500000000000061E+010         2.8862275659749664E-001         2.8860982925452311E-001        -9.6549921754347388E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.5915739153622113E+000        -1.5915311278428557E+000        -6.1467617092882733E+001         3.6470034509252001E+000        -5.6711670734939157E-001         5.0314639511479884E+000         7.3634640541835250E-001         5.1403367385707121E-003         2.5851182926177785E-001         2.4949566534689790E-007         6.1088824661505898E-007         6.8815504780364707E+000         2.0724586079919520E+000         1.5997148392266494E-001         7.3634640521378936E-001         2.5851182946512774E-001         2.4949566556638928E-007         0.0000000000000000E+000
