# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   377   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  278         1.2000000000000051E+010         2.1358692808739432E-001         2.1357973366341582E-001        -6.1332657124696641E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8181880523337937E+000        -1.8180095902953706E+000        -6.3860550539755479E+001         3.6416498784660223E+000        -6.6971663091682676E-001         5.1049289238282807E+000         7.3684424058450326E-001         9.5070560587848605E-003         2.5364727478574667E-001         2.4962531046053057E-007         6.1088824404661187E-007         6.8375693645115003E+000         2.2428835874875857E+000         2.0217043406807833E-001         7.3684424038049445E-001         2.5364727498339812E-001         2.4962531068215822E-007         0.0000000000000000E+000
  279         1.2000000000000051E+010         2.2193440615750354E-001         2.2192677095826358E-001        -6.5220122223019794E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7895125377804935E+000        -1.7893519577706778E+000        -6.3578939983832996E+001         3.6423056903048869E+000        -6.5669049731790718E-001         5.0950553975917137E+000         7.3695744679285058E-001         8.9668702913649756E-003         2.5407425434434294E-001         2.4961785626957436E-007         6.1088824418460656E-007         6.8428374995170174E+000         2.2206342277618427E+000         1.9647154344246437E-001         7.3695744659091567E-001         2.5407425454053667E-001         2.4961785648993898E-007         0.0000000000000000E+000
  280         1.2000000000000051E+010         2.2978762073685197E-001         2.2977954937081130E-001        -6.8887541687820258E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7625998141912649E+000        -1.7624569227039268E+000        -6.3312856694710696E+001         3.6429222522985367E+000        -6.4446725951059158E-001         5.0858297098999579E+000         7.3708010610907815E-001         8.4321140641943158E-003         2.5448635125475072E-001         2.4961041515212669E-007         6.1088824432207641E-007         6.8478050081179527E+000         2.1997974357593510E+000         1.9112011445054256E-001         7.3708010590931994E-001         2.5448635144939358E-001         2.4961041537127963E-007         0.0000000000000000E+000
  281         1.2000000000000051E+010         2.3829462909022220E-001         2.3828605696010369E-001        -7.2824087827343021E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7337230320034964E+000        -1.7335960124160961E+000        -6.3017401861728530E+001         3.6435902091402821E+000        -6.3136478210019842E-001         5.0761127068680025E+000         7.3725132655502690E-001         7.7912888914794930E-003         2.5495595598077680E-001         2.4960187496801321E-007         6.1088824448119399E-007         6.8532806379487585E+000         2.1776420917494201E+000         1.8534133417075599E-001         7.3725132635803725E-001         2.5495595617341771E-001         2.4960187518559067E-007         0.0000000000000000E+000
  282         1.2000000000000051E+010         2.4583101165405985E-001         2.4582200591096770E-001        -7.6332682160956191E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7100371146415181E+000        -1.7099233605304720E+000        -6.2771540048912769E+001         3.6441428971403655E+000        -6.2062719941937528E-001         5.0683342192044005E+000         7.3734965415253140E-001         7.3052710876773085E-003         2.5534364618625954E-001         2.4959237064426694E-007         6.1088824466868928E-007         6.8578215351964964E+000         2.1596982483435578E+000         1.8081134959349848E-001         7.3734965395666685E-001         2.5534364637834428E-001         2.4959237086094829E-007         0.0000000000000000E+000
  283         1.2000000000000051E+010         2.5293922272949926E-001         2.5292979264595644E-001        -7.9649605594406430E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6878682314701074E+000        -1.6877675149106379E+000        -6.2539741598722330E+001         3.6446614813561826E+000        -6.1057992626530266E-001         5.0610996757877160E+000         7.3745187905723730E-001         6.8357327623164953E-003         2.5571095960610285E-001         2.4958275069414060E-007         6.1088824485887243E-007         6.8620946174307536E+000         2.1429557776957324E+000         1.7658358229199142E-001         7.3745187886251373E-001         2.5571095979759201E-001         2.4958275090993013E-007         0.0000000000000000E+000
  284         1.2000000000000051E+010         2.5998276031546674E-001         2.5997292249963833E-001        -8.2925662892855177E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6676562094718190E+000        -1.6675655844507906E+000        -6.2321425124923842E+001         3.6451415319420910E+000        -6.0143401643797567E-001         5.0547466385433211E+000         7.3751094979432175E-001         6.4396396257714603E-003         2.5604798200456069E-001         2.4957122931652641E-007         6.1088824509304993E-007         6.8660939228852582E+000         2.1279749695213295E+000         1.7291399090526921E-001         7.3751094959960595E-001         2.5604798219649177E-001         2.4957122953172100E-007         0.0000000000000000E+000
  285         1.2000000000000051E+010         2.6654037313336171E-001         2.6653017392004263E-001        -8.5983074393814527E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6503463171030277E+000        -1.6502638940986925E+000        -6.2130929329258265E+001         3.6455577384252358E+000        -5.9361148321987001E-001         5.0494861290596500E+000         7.3752029948862174E-001         6.1516581121951880E-003         2.5632661382272859E-001         2.4955845022357885E-007         6.1088824535825256E-007         6.8695713457422505E+000         2.1153605070896315E+000         1.6996540735035398E-001         7.3752029929269813E-001         2.5632661401617529E-001         2.4955845043866487E-007         0.0000000000000000E+000
  286         1.2000000000000051E+010         2.7276823958524787E-001         2.7275768941749001E-001        -8.8892086732721530E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6339232686489380E+000        -1.6338491875815793E+000        -6.1949825354532557E+001         3.6459530736128660E+000        -5.8619062936808741E-001         5.0445068169935965E+000         7.3753866890917941E-001         5.8747555541240927E-003         2.5658514695914292E-001         2.4954552925047637E-007         6.1088824562593149E-007         6.8728756618713653E+000         2.1034060251357141E+000         1.6716806784617699E-001         7.3753866871212859E-001         2.5658514715400543E-001         2.4954552946546916E-007         0.0000000000000000E+000
  287         1.2000000000000051E+010         2.7890200276357624E-001         2.7889109808759416E-001        -9.1752527998241570E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6177961962256833E+000        -1.6177301799695818E+000        -6.1770287356595375E+001         3.6463426192406656E+000        -5.7890618441205910E-001         5.0396513197544905E+000         7.3756770109076042E-001         5.5945371812668680E-003         2.5683633314935628E-001         2.4953203789076358E-007         6.1088824590513303E-007         6.8761456784850701E+000         2.0917056962376401E+000         1.6441656508077490E-001         7.3756770089264434E-001         2.5683633334555905E-001         2.4953203810561560E-007         0.0000000000000000E+000
  288         1.2000000000000051E+010         2.8550299781741795E-001         2.8549170301940618E-001        -9.4796965815997480E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6005675529066057E+000        -1.6005078954649368E+000        -6.1573684842335680E+001         3.6467620463755277E+000        -5.7113071702224361E-001         5.0345537135621949E+000         7.3761997815621683E-001         5.2787497576805443E-003         2.5709984350633819E-001         2.4951650995214059E-007         6.1088824622640998E-007         6.8797124899810145E+000         2.0793050887059468E+000         1.6146116126125676E-001         7.3761997795714584E-001         2.5709984370377514E-001         2.4951651016664809E-007         0.0000000000000000E+000
  289         1.2000000000000051E+010         2.9196153362535349E-001         2.9194985012495100E-001        -9.7802240830864458E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.5837662324878172E+000        -1.5837131528844197E+000        -6.1381816454376732E+001         3.6471974217692562E+000        -5.6360080760030773E-001         5.0296514077816941E+000         7.3767761153354972E-001         4.9736093241594280E-003         2.5734735056123215E-001         2.4949996443448172E-007         6.1088824657044014E-007         6.8831869706495619E+000         2.0673311341652783E+000         1.5860975961421647E-001         7.3767761133375176E-001         2.5734735075967119E-001         2.4949996464852753E-007         0.0000000000000000E+000
