# object_id,reference,teff,logg,[Fe/H],[C/Fe]_1D,[C/Fe]_3D 
BS16929-005,W.Aoki+_ApJ_655_492_2007,5250,2.80,-3.22,1.09,0.64
BS16929-005,D.K.Lai+_ApJ_681_1524_2008,5245,2.70,-3.34,1.06,0.57
BS16929-005,S.Honda+_ApJ_607_474_2004,5270,2.70,-2.98,0.94,0.56
BS16934-072,D.K.Lai+_ApJ_667_1185_2007,6187,3.78,-1.63,0.36,0.16
BS16945-054,D.K.Lai+_ApJ_667_1185_2007,5281,2.99,-2.76,0.06,-0.29
BS16968-061,P.Bonifacio+_AAP_501_519_2009,6035,3.75,-3.04,0.56,0.18
BS16972-003,D.K.Lai+_ApJ_667_1185_2007,6231,3.80,-2.25,0.61,0.33
BS16972-013,D.K.Lai+_ApJ_667_1185_2007,5715,3.56,-1.79,-0.08,-0.28
BS16981-009,D.K.Lai+_ApJ_667_1185_2007,5259,2.92,-2.71,0.36,0.02
BS17139-007,D.K.Lai+_ApJ_667_1185_2007,5918,3.66,-2.25,0.26,-0.01
BS17444-032,D.K.Lai+_ApJ_667_1185_2007,5960,3.68,-2.26,0.31,0.03
BS17446-025,D.K.Lai+_ApJ_667_1185_2007,5960,3.68,-2.21,0.46,0.19
BS17570-063,P.Bonifacio+_AAP_501_519_2009,6242,4.75,-2.91,0.51,0.15
BS17570-090,D.K.Lai+_ApJ_667_1185_2007,5924,3.66,-2.43,0.26,-0.04
BS17576-002,D.K.Lai+_ApJ_667_1185_2007,6203,3.78,-1.21,0.36,0.21
BS17576-071,D.K.Lai+_ApJ_667_1185_2007,6200,3.79,-1.55,0.11,-0.08
BS17583-100,S.Honda+_ApJ_607_474_2004,5930,4.00,-2.41,0.65,0.35
CD-2417504,D.Fabbian+_AAP_500_1143_2009,6338,4.32,-3.26,0.64,0.21
CD-24_17504,A.M.Amarsi+_AAP_622_L4_2019,6323,4.33,-3.17,0.55,0.14
CD-3018140,D.Fabbian+_AAP_500_1143_2009,6272,4.12,-1.94,0.24,0.00
CD-30_18140,C.J.Akerman+_AAP_414_931_2004,6272,4.13,-1.88,0.17,-0.06
CD-30_18140,A.M.Amarsi+_AAP_622_L4_2019,6241,4.13,-1.86,0.17,-0.06
CD-3514849,D.Fabbian+_AAP_500_1143_2009,6294,4.26,-2.39,0.34,0.05
CD-35_14849,C.J.Akerman+_AAP_414_931_2004,6125,4.11,-2.41,0.38,0.08
CD-35_14849,A.M.Amarsi+_AAP_622_L4_2019,6254,4.27,-2.30,0.27,-0.01
CD-4214278,D.Fabbian+_AAP_500_1143_2009,6085,4.39,-2.08,0.19,-0.07
CD-42_14278,C.J.Akerman+_AAP_414_931_2004,5812,4.25,-2.12,0.31,0.05
CD-42_14278,A.M.Amarsi+_AAP_622_L4_2019,6011,4.38,-1.97,0.12,-0.12
CD-48_2445,C.J.Hansen+_AAP_598_54_2017,6453,4.25,-1.93,0.12,-0.12
CD-711234,D.Fabbian+_AAP_500_1143_2009,6325,4.18,-2.43,0.28,-0.02
CD-71_1234,A.M.Amarsi+_AAP_622_L4_2019,6315,4.18,-2.32,0.17,-0.11
CS22166-016,D.K.Lai+_ApJ_667_1185_2007,5388,3.26,-2.30,0.21,-0.07
CS22169-008,I.U.Roederer+_AJ_147_136_2014,5810,3.60,-2.85,0.18,-0.18
CS22171-031,I.U.Roederer+_AJ_147_136_2014,6010,3.70,-2.54,0.36,0.05
CS22171-037,I.U.Roederer+_AJ_147_136_2014,6110,3.65,-3.63,1.30,0.79
CS22174-007,W.Aoki+_ApJ_655_492_2007,5300,2.70,-2.24,0.41,0.14
CS22174-020,I.U.Roederer+_AJ_147_136_2014,5840,3.55,-3.29,0.76,0.29
CS22177-009,I.U.Roederer+_AJ_147_136_2014,5940,3.55,-3.42,0.94,0.43
CS22177-009,P.Bonifacio+_AAP_501_519_2009,6257,4.50,-3.09,0.49,0.10
CS22177-010,I.U.Roederer+_AJ_147_136_2014,6050,3.70,-3.00,0.72,0.35
CS22180-005,D.K.Lai+_ApJ_667_1185_2007,5851,3.63,-1.82,0.26,0.06
CS22180-014,I.U.Roederer+_AJ_147_136_2014,5780,3.55,-2.86,0.48,0.12
CS22182-033,I.U.Roederer+_AJ_147_136_2014,5810,3.60,-2.65,0.31,-0.02
CS22182-033,G.W.Preston+_AJ_132_85_2006,5700,3.30,-2.67,0.24,-0.09
CS22182-047,I.U.Roederer+_AJ_147_136_2014,5640,3.60,-2.18,0.00,-0.26
CS22183-015,T.Masseron+_ApJ_751_14_2012,5450,3.00,-2.92,2.39,2.02
CS22183-015,D.M.Allen+_AAP_548_A34_2012,5470,2.85,-2.85,2.43,2.07
CS22183-031,J.A.Johnson+_ApJ_658_1203_2007,5196,2.76,-2.77,-0.19,-0.54
CS22183-031,D.K.Lai+_ApJ_667_1185_2007,5416,3.31,-2.54,0.31,-0.00
CS22183-031,S.Honda+_ApJ_607_474_2004,5270,2.80,-2.92,0.54,0.17
CS22185-007,D.K.Lai+_ApJ_667_1185_2007,5193,2.73,-2.28,0.21,-0.06
CS22186-002,I.U.Roederer+_AJ_147_136_2014,5500,3.35,-2.72,0.06,-0.28
CS22186-017,I.U.Roederer+_AJ_147_136_2014,5770,3.55,-2.82,0.25,-0.11
CS22190-007,D.K.Lai+_ApJ_667_1185_2007,6013,3.71,-1.85,-0.04,-0.27
CS22871-104,I.U.Roederer+_AJ_147_136_2014,6370,4.00,-2.20,0.82,0.55
CS22872-102,I.U.Roederer+_AJ_147_136_2014,6020,3.65,-2.85,0.65,0.30
CS22872-102,D.K.Lai+_ApJ_681_1524_2008,5984,3.63,-2.87,0.69,0.33
CS22873-072,I.U.Roederer+_AJ_147_136_2014,6030,3.70,-3.08,0.66,0.28
CS22874-042,C.J.Hansen+_AAP_598_54_2017,6500,4.50,-1.90,0.12,-0.11
CS22874-123,I.U.Roederer+_AJ_147_136_2014,6240,3.80,-2.79,0.72,0.38
CS22876-040,I.U.Roederer+_AJ_147_136_2014,6090,3.80,-2.47,0.39,0.09
CS22876-040,I.U.Roederer+_ApJ_711_573_2010,6280,3.70,-2.34,0.70,0.41
CS22876-042,C.Sneden+_ApJ_592_504_2003,6750,4.20,-2.06,0.99,0.74
CS22877-015,I.U.Roederer+_AJ_147_136_2014,6150,3.85,-2.12,0.28,0.02
CS22877-051,I.U.Roederer+_AJ_147_136_2014,6050,3.70,-3.03,0.60,0.23
CS22878-002,I.U.Roederer+_AJ_147_136_2014,5850,3.55,-2.97,0.45,0.07
CS22878-027,I.U.Roederer+_AJ_147_136_2014,5820,3.55,-2.92,0.61,0.24
CS22878-027,D.K.Lai+_ApJ_681_1524_2008,6348,4.39,-2.48,0.95,0.65
CS22878-027,A.Arentsen+_AAP_621_A108_2019,6319,4.40,-2.51,0.86,0.55
CS22879-012,I.U.Roederer+_AJ_147_136_2014,6020,3.65,-3.01,0.36,-0.01
CS22879-029,I.U.Roederer+_AJ_147_136_2014,5920,3.70,-2.55,1.46,1.15
CS22879-029,J.A.Johnson+_ApJ_658_1203_2007,6300,3.90,-1.91,1.41,1.17
CS22879-051,I.U.Roederer+_AJ_147_136_2014,6190,3.75,-3.02,0.94,0.57
CS22879-094,I.U.Roederer+_AJ_147_136_2014,5820,3.60,-3.15,0.29,-0.14
CS22880-067,I.U.Roederer+_AJ_147_136_2014,5570,3.35,-3.23,0.45,-0.01
CS22880-074,W.Aoki+_PASJ_54_933_2002,5850,3.80,-1.93,1.42,1.18
CS22880-074,G.W.Preston+_AJ_122_1545_2001,6050,4.00,-1.78,1.63,1.41
CS22880-086,D.K.Lai+_ApJ_667_1185_2007,5457,3.37,-2.25,0.16,-0.11
CS22881-032,I.U.Roederer+_AJ_147_136_2014,5430,3.20,-3.55,0.77,0.22
CS22881-036,I.U.Roederer+_AJ_147_136_2014,5940,3.70,-2.34,1.96,1.67
CS22881-036,G.W.Preston+_AJ_122_1545_2001,6200,4.00,-2.05,2.08,1.83
CS22881-070,I.U.Roederer+_AJ_147_136_2014,6020,3.70,-2.96,0.63,0.27
CS22882-006,I.U.Roederer+_AJ_147_136_2014,5800,3.60,-2.94,0.19,-0.19
CS22882-012,I.U.Roederer+_AJ_147_136_2014,6290,3.80,-2.76,1.11,0.77
CS22882-030,I.U.Roederer+_AJ_147_136_2014,5580,3.40,-3.47,0.54,0.01
CS22883-020,D.K.Lai+_ApJ_667_1185_2007,6099,3.74,-1.85,0.36,0.13
CS22884-020,I.U.Roederer+_AJ_147_136_2014,6040,3.75,-2.48,0.37,0.07
CS22884-097,J.A.Johnson+_ApJ_658_1203_2007,6460,4.00,-1.92,1.41,1.17
CS22884-108,I.U.Roederer+_AJ_147_136_2014,6320,3.75,-3.10,1.37,0.98
CS22884-108,D.K.Lai+_ApJ_681_1524_2008,6290,4.44,-3.14,1.01,0.61
CS22885-040,I.U.Roederer+_AJ_147_136_2014,6160,3.75,-2.78,0.58,0.24
CS22885-203,I.U.Roederer+_AJ_147_136_2014,5820,3.60,-2.73,0.21,-0.13
CS22886-003,I.U.Roederer+_AJ_147_136_2014,5970,3.65,-2.92,0.54,0.17
CS22886-012,I.U.Roederer+_AJ_147_136_2014,5650,3.50,-2.88,0.11,-0.26
CS22886-044,I.U.Roederer+_AJ_147_136_2014,5730,3.75,-1.86,-0.16,-0.39
CS22887-048,D.Karinkuzhi+_AAP_645_61_2021,6500,3.20,-2.10,1.87,1.62
CS22887-048,J.A.Johnson+_ApJ_658_1203_2007,6455,3.99,-2.77,2.18,1.84
CS22887-048,T.Masseron+_ApJ_751_14_2012,6500,3.70,-1.85,1.52,1.29
CS22887-048,D.M.Allen+_AAP_548_A34_2012,6500,3.35,-1.70,1.93,1.75
CS22888-002,I.U.Roederer+_AJ_147_136_2014,5700,3.50,-2.93,0.50,0.13
CS22888-014,I.U.Roederer+_AJ_147_136_2014,6020,3.70,-2.73,0.70,0.37
CS22888-031,I.U.Roederer+_AJ_147_136_2014,5810,3.50,-3.71,0.92,0.32
CS22888-031,P.Bonifacio+_AAP_501_519_2009,6151,5.00,-3.29,0.49,0.06
CS22889-050,I.U.Roederer+_AJ_147_136_2014,5920,3.60,-3.09,0.76,0.35
CS22890-011,I.U.Roederer+_AJ_147_136_2014,6010,3.70,-2.68,0.45,0.12
CS22890-024,I.U.Roederer+_AJ_147_136_2014,5320,2.95,-2.77,0.31,-0.04
CS22890-064,I.U.Roederer+_AJ_147_136_2014,5960,3.60,-3.12,0.84,0.42
CS22891-171,J.A.Johnson+_ApJ_658_1203_2007,5297,3.07,-2.43,1.56,1.26
CS22891-221,I.U.Roederer+_AJ_147_136_2014,5290,2.80,-3.23,0.44,-0.02
CS22892-025,I.U.Roederer+_AJ_147_136_2014,6140,3.75,-2.78,0.76,0.42
CS22893-005,I.U.Roederer+_AJ_147_136_2014,5260,2.75,-2.99,0.11,-0.27
CS22893-010,D.K.Lai+_ApJ_667_1185_2007,5528,3.44,-2.21,0.26,-0.00
CS22893-011,I.U.Roederer+_AJ_147_136_2014,6010,3.75,-2.40,0.34,0.05
CS22894-004,I.U.Roederer+_AJ_147_136_2014,5920,3.65,-2.96,0.42,0.04
CS22894-019,I.U.Roederer+_AJ_147_136_2014,5930,3.60,-2.98,0.32,-0.06
CS22894-023,I.U.Roederer+_AJ_147_136_2014,5980,3.65,-3.14,0.71,0.28
CS22894-049,I.U.Roederer+_AJ_147_136_2014,5870,3.90,-2.84,0.42,0.07
CS22896-115,I.U.Roederer+_AJ_147_136_2014,5910,3.65,-2.82,0.38,0.02
CS22896-136,I.U.Roederer+_AJ_147_136_2014,6190,3.85,-2.41,1.30,1.00
CS22896-154,R.Cayrel+_AAP_416_1117_2004,5250,2.70,-2.68,0.35,0.01
CS22896-154,M.Spite+_AAP_430_655_2005,5250,2.70,-2.69,0.32,-0.02
CS22896-154,M.Spite+_AAP_455_291_2006,5250,2.70,-2.69,0.32,-0.02
CS22898-027,A.McWilliam+_AJ_109_2757_1995,6000,3.60,-2.19,1.86,1.60
CS22898-027,D.K.Lai+_ApJ_667_1185_2007,5750,3.58,-2.12,1.41,1.16
CS22898-027,G.W.Preston+_AJ_122_1545_2001,6300,4.00,-2.17,2.07,1.80
CS22898-027,D.M.Allen+_AAP_548_A34_2012,6240,3.72,-2.30,2.43,2.15
CS22898-027,W.Aoki+_PASJ_54_933_2002,6250,3.70,-2.26,2.32,2.04
