# object_id,reference,teff,logg,[Fe/H],[C/Fe]_1D,[C/Fe]_3D 
CS29499-003,I.U.Roederer+_AJ_147_136_2014,6080,3.75,-2.51,0.26,-0.05
CS29499-058,I.U.Roederer+_AJ_147_136_2014,6060,3.70,-2.81,0.59,0.25
CS29499-060,P.Bonifacio+_AAP_501_519_2009,6318,4.00,-2.69,0.49,0.16
CS29499-060,I.U.Roederer+_AJ_147_136_2014,6280,3.80,-2.79,0.54,0.20
CS29501-032,I.U.Roederer+_AJ_147_136_2014,5950,3.65,-2.92,0.33,-0.04
CS29503-010,W.Aoki+_ApJ_655_492_2007,6500,4.50,-1.11,1.08,0.94
CS29503-010,D.M.Allen+_AAP_548_A34_2012,6050,3.66,-1.69,1.73,1.52
CS29504-006,I.U.Roederer+_AJ_147_136_2014,6150,3.70,-3.12,1.59,1.20
CS29506-007,P.Bonifacio+_AAP_501_519_2009,6273,4.00,-2.90,0.60,0.25
CS29506-007,I.U.Roederer+_AJ_147_136_2014,5940,3.60,-3.24,0.81,0.35
CS29506-007,D.K.Lai+_ApJ_681_1524_2008,6369,3.84,-2.85,0.92,0.57
CS29506-090,P.Bonifacio+_AAP_501_519_2009,6303,4.25,-2.82,0.52,0.18
CS29506-090,I.U.Roederer+_AJ_147_136_2014,5940,3.60,-3.21,0.64,0.19
CS29509-027,I.U.Roederer+_AJ_147_136_2014,6850,3.50,-2.42,1.74,1.44
CS29509-027,C.Sneden+_ApJ_592_504_2003,7050,4.20,-2.02,1.37,1.12
CS29510-008,D.K.Lai+_ApJ_667_1185_2007,5577,3.48,-1.52,0.11,-0.05
CS29510-058,D.K.Lai+_ApJ_667_1185_2007,5192,2.73,-2.34,0.46,0.18
CS29512-073,I.U.Roederer+_AJ_147_136_2014,5650,3.60,-2.10,1.24,0.99
CS29512-073,J.A.Johnson+_ApJ_658_1203_2007,5751,3.62,-2.08,1.16,0.92
CS29512-073,T.Masseron+_ApJ_751_14_2012,5600,3.40,-2.14,1.26,1.01
CS29512-073,D.M.Allen+_AAP_548_A34_2012,5560,3.44,-2.06,1.67,1.43
CS29513-015,I.U.Roederer+_AJ_147_136_2014,6110,3.75,-2.63,0.38,0.06
CS29513-031,I.U.Roederer+_AJ_147_136_2014,6600,4.00,-2.67,1.32,0.99
CS29513-031,I.U.Roederer+_ApJ_711_573_2010,6650,3.70,-2.64,1.31,0.99
CS29513-032,I.U.Roederer+_AJ_147_136_2014,6080,3.85,-1.85,0.68,0.45
CS29513-032,I.U.Roederer+_ApJ_711_573_2010,5810,3.30,-2.08,0.74,0.50
CS29514-007,I.U.Roederer+_AJ_147_136_2014,6400,3.85,-2.83,0.89,0.54
CS29514-017,I.U.Roederer+_AJ_147_136_2014,5270,2.80,-2.35,-0.13,-0.41
CS29514-018,I.U.Roederer+_AJ_147_136_2014,5990,3.70,-2.84,0.28,-0.07
CS29514-037,I.U.Roederer+_AJ_147_136_2014,5970,3.70,-2.62,0.19,-0.13
CS29517-018,I.U.Roederer+_AJ_147_136_2014,5680,3.50,-2.78,0.42,0.07
CS29517-025,D.K.Lai+_ApJ_667_1185_2007,5647,3.53,-2.02,-0.39,-0.62
CS29517-042,I.U.Roederer+_AJ_147_136_2014,6120,3.75,-2.53,0.26,-0.05
CS29522-046,D.K.Lai+_ApJ_681_1524_2008,6055,3.80,-2.09,0.51,0.25
CS29526-110,W.Aoki+_PASJ_54_933_2002,6500,3.20,-2.38,2.32,2.03
CS29526-110,D.M.Allen+_AAP_548_A34_2012,6650,3.79,-2.19,2.37,2.10
CS29526-110,W.Aoki+_ApJ_678_1351_2008,6800,4.10,-2.11,2.08,1.82
CS29527-015,P.Bonifacio+_AAP_501_519_2009,6242,4.00,-3.54,1.29,0.80
CS29528-028,W.Aoki+_ApJ_655_492_2007,6800,4.00,-2.91,2.78,2.42
CS29528-028,D.M.Allen+_AAP_548_A34_2012,7100,4.27,-2.12,2.80,2.54
CS29528-041,T.Sivarani+_AAP_459_125_2006,6150,4.00,-3.30,1.57,1.14
CS29529-054,I.U.Roederer+_AJ_147_136_2014,5710,3.55,-2.55,0.39,0.07
CS30301-024,P.Bonifacio+_AAP_501_519_2009,6334,4.00,-2.74,0.34,0.00
CS30306-082,D.K.Lai+_ApJ_667_1185_2007,5598,3.50,-2.43,0.21,-0.09
CS30306-110,D.K.Lai+_ApJ_667_1185_2007,6056,3.72,-1.68,0.01,-0.20
CS30306-126,D.K.Lai+_ApJ_667_1185_2007,5812,3.61,-1.76,-0.09,-0.28
CS30311-050,D.K.Lai+_ApJ_667_1185_2007,5710,3.56,-1.34,0.11,-0.02
CS30312-100,W.Aoki+_ApJ_655_492_2007,5300,2.80,-2.38,0.55,0.26
CS30315-093,D.K.Lai+_ApJ_667_1185_2007,5638,3.52,-2.39,-0.09,-0.38
CS30320-006,D.K.Lai+_ApJ_667_1185_2007,5661,3.53,-1.72,-0.14,-0.33
CS30320-069,D.K.Lai+_ApJ_667_1185_2007,6119,3.75,-1.85,0.16,-0.07
CS30329-078,D.K.Lai+_ApJ_667_1185_2007,5475,3.39,-1.60,0.01,-0.16
CS30329-129,D.K.Lai+_ApJ_667_1185_2007,5467,3.37,-2.24,0.11,-0.16
CS30331-018,D.K.Lai+_ApJ_667_1185_2007,5379,3.24,-1.60,-0.04,-0.21
CS30332-114,D.K.Lai+_ApJ_667_1185_2007,5851,3.63,-1.68,0.11,-0.07
CS30338-119,D.K.Lai+_ApJ_667_1185_2007,5611,3.50,-1.65,0.01,-0.17
CS30339-015,I.U.Roederer+_AJ_147_136_2014,5840,3.60,-3.00,0.48,0.09
CS30339-069,I.U.Roederer+_AJ_147_136_2014,5900,3.55,-3.50,1.07,0.53
CS30339-069,P.Bonifacio+_AAP_501_519_2009,6242,4.00,-3.07,0.67,0.29
CS30492-001,I.U.Roederer+_AJ_147_136_2014,5790,3.65,-2.62,0.22,-0.11
CS30492-001,I.U.Roederer+_ApJ_784_158_2014,5790,3.65,-2.62,0.22,-0.11
CS30492-016,I.U.Roederer+_AJ_147_136_2014,5570,3.35,-3.30,0.65,0.17
CS30493-071,I.U.Roederer+_AJ_147_136_2014,5700,3.55,-2.82,0.35,-0.01
CS31060-030,D.K.Lai+_ApJ_667_1185_2007,5682,3.55,-1.51,0.11,-0.04
CS31060-043,D.K.Lai+_ApJ_667_1185_2007,5452,3.36,-1.89,0.01,-0.20
CS31061-032,P.Bonifacio+_AAP_501_519_2009,6409,4.25,-2.57,0.67,0.36
CS31061-062,D.K.Lai+_ApJ_667_1185_2007,5465,3.38,-2.45,-0.29,-0.59
CS31062-012,W.Aoki+_PASJ_54_933_2002,6250,4.50,-2.55,2.22,1.91
CS31062-050,D.K.Lai+_ApJ_667_1185_2007,5313,3.08,-2.48,1.66,1.36
CS31062-050,W.Aoki+_PASJ_54_933_2002,5600,3.00,-2.31,2.12,1.84
CS31069-064,D.K.Lai+_ApJ_667_1185_2007,5468,3.38,-2.02,0.16,-0.07
CS31070-073,D.M.Allen+_AAP_548_A34_2012,6190,3.86,-2.55,1.34,1.03
CS31078-018,D.K.Lai+_ApJ_681_1524_2008,5257,2.75,-2.84,0.46,0.10
CS31080-095,J.A.Johnson+_ApJ_658_1203_2007,5972,3.73,-2.73,2.21,1.88
CS31080-095,T.Sivarani+_AAP_459_125_2006,6050,4.50,-2.85,2.67,2.32
CS31085-024,D.K.Lai+_ApJ_681_1524_2008,5949,4.57,-2.68,0.45,0.12
CS31088-083,D.K.Lai+_ApJ_667_1185_2007,5386,3.26,-1.82,0.06,-0.14
G10-54,I.U.Roederer+_AJ_147_136_2014,5210,4.40,-2.29,-0.29,-0.57
G102-20,J.Simmerer+_ApJ_617_1091_2004,5254,4.44,-1.25,-0.02,-0.18
G102-27,J.Simmerer+_ApJ_617_1091_2004,5600,2.88,-0.59,0.13,0.12
G107-50,I.U.Roederer+_AJ_147_136_2014,6030,3.85,-2.06,0.36,0.11
G11-44,C.J.Akerman+_AAP_414_931_2004,5995,4.29,-2.09,0.29,0.03
G11-44,D.Fabbian+_AAP_500_1143_2009,6178,4.35,-2.08,0.23,-0.03
G11-44,A.M.Amarsi+_AAP_622_L4_2019,6108,4.41,-1.96,0.15,-0.09
G113-22,J.Simmerer+_ApJ_617_1091_2004,5525,4.25,-1.18,0.03,-0.12
G115-49,I.U.Roederer+_AJ_147_136_2014,5420,3.80,-2.61,0.02,-0.30
G122-51,J.Simmerer+_ApJ_617_1091_2004,4864,4.51,-1.43,0.13,-0.05
G122-69,I.U.Roederer+_AJ_147_136_2014,6010,3.70,-2.78,0.95,0.61
G123-9,J.Simmerer+_ApJ_617_1091_2004,5487,4.75,-1.25,-0.07,-0.23
G126-36,J.Simmerer+_ApJ_617_1091_2004,5487,4.50,-1.06,0.33,0.20
G126-52,D.Fabbian+_AAP_500_1143_2009,6396,4.20,-2.26,0.25,-0.03
G126-52,A.M.Amarsi+_AAP_622_L4_2019,6359,4.16,-2.18,0.17,-0.10
G126-62,C.J.Akerman+_AAP_414_931_2004,5943,3.97,-1.64,0.23,0.03
G126-62,I.U.Roederer+_AJ_147_136_2014,5970,3.85,-1.80,-0.09,-0.31
G126-62,J.Simmerer+_ApJ_617_1091_2004,5941,3.98,-1.59,0.13,-0.07
G126-62,D.Fabbian+_AAP_500_1143_2009,6224,4.11,-1.60,0.11,-0.09
G126-62,A.M.Amarsi+_AAP_622_L4_2019,6197,4.14,-1.48,0.00,-0.18
G13-9,C.J.Akerman+_AAP_414_931_2004,6360,4.01,-2.27,0.31,0.03
G13-9,D.Fabbian+_AAP_500_1143_2009,6343,4.01,-2.34,0.39,0.10
G13-9,A.M.Amarsi+_AAP_622_L4_2019,6330,4.00,-2.25,0.32,0.04
G137-86,I.U.Roederer+_AJ_147_136_2014,5820,3.75,-1.90,-0.13,-0.36
G140-46,J.Simmerer+_ApJ_617_1091_2004,4980,4.42,-1.30,-0.02,-0.18
G146-56,I.U.Roederer+_AJ_147_136_2014,5290,4.05,-1.58,-0.24,-0.44
G15-10,I.U.Roederer+_AJ_147_136_2014,5050,4.05,-2.53,0.19,-0.12
G153-21,J.Simmerer+_ApJ_617_1091_2004,5700,4.36,-0.70,-0.02,-0.11
G153-64,I.U.Roederer+_AJ_147_136_2014,5630,4.15,-1.08,-0.10,-0.24
G16-13,C.J.Akerman+_AAP_414_931_2004,5602,4.17,-0.76,-0.07,-0.17
G16-25,I.U.Roederer+_AJ_147_136_2014,5250,4.10,-2.08,-0.36,-0.62
G161-73,I.U.Roederer+_AJ_147_136_2014,5680,3.90,-1.42,-0.23,-0.41
G166-47,I.U.Roederer+_AJ_147_136_2014,5960,3.70,-2.46,0.38,0.08
G166-54,D.Fabbian+_AAP_500_1143_2009,6407,4.28,-2.63,0.23,-0.09
G166-54,A.M.Amarsi+_AAP_622_L4_2019,6381,4.25,-2.55,0.14,-0.17
G17-25,J.Simmerer+_ApJ_617_1091_2004,4966,4.26,-1.54,0.13,-0.06
G176-53,J.Simmerer+_ApJ_617_1091_2004,5593,4.50,-1.34,0.13,-0.04
G179-22,J.Simmerer+_ApJ_617_1091_2004,5082,3.20,-1.35,-0.07,-0.20
G18-39,C.J.Akerman+_AAP_414_931_2004,5910,4.09,-1.52,0.38,0.19
G18-39,D.Fabbian+_AAP_500_1143_2009,6093,4.19,-1.51,0.31,0.12
G18-39,A.M.Amarsi+_AAP_622_L4_2019,6048,4.25,-1.35,0.18,0.01
G180-24,J.Simmerer+_ApJ_617_1091_2004,6059,4.09,-1.34,-0.32,-0.49
G180-58,I.U.Roederer+_AJ_147_136_2014,4980,4.40,-2.60,0.38,0.06
G186-26,I.U.Roederer+_AJ_147_136_2014,5950,3.65,-3.07,0.55,0.14
G186-26,D.Fabbian+_AAP_500_1143_2009,6417,4.42,-2.59,0.31,-0.01
G186-26,C.J.Akerman+_AAP_414_931_2004,6273,4.25,-2.62,0.33,0.01
G186-26,A.M.Amarsi+_AAP_622_L4_2019,6379,4.24,-2.56,0.21,-0.10
G188-22,I.U.Roederer+_AJ_147_136_2014,5890,3.90,-1.50,-0.01,-0.20
G188-22,J.Simmerer+_ApJ_617_1091_2004,5827,4.27,-1.52,-0.17,-0.36
G188-30,I.U.Roederer+_AJ_147_136_2014,5090,4.30,-2.05,-0.31,-0.56
G19-25,W.Aoki+_ApJ_723_L201_2010,4900,4.60,-1.87,-0.26,-0.49
G190-10,I.U.Roederer+_AJ_147_136_2014,5230,4.35,-1.95,-0.12,-0.36
G190-15,I.U.Roederer+_AJ_147_136_2014,4950,3.85,-3.12,0.44,0.02
G191-55,J.Simmerer+_ApJ_617_1091_2004,5770,4.50,-1.63,0.08,-0.12
G192-43,J.Simmerer+_ApJ_617_1091_2004,6085,3.73,-1.50,0.25,0.06
G199-66,I.U.Roederer+_AJ_147_136_2014,5560,3.45,-2.14,0.03,-0.22
G20-8,C.J.Akerman+_AAP_414_931_2004,5855,4.16,-2.28,0.51,0.23
G20-8,D.Fabbian+_AAP_500_1143_2009,6194,4.29,-2.24,0.35,0.07
G20-8,A.M.Amarsi+_AAP_622_L4_2019,6125,4.38,-2.11,0.28,0.02
G201-44,I.U.Roederer+_AJ_147_136_2014,6000,3.90,-1.72,-0.06,-0.27
G206-34,I.U.Roederer+_AJ_147_136_2014,5930,3.60,-3.17,0.58,0.14
G214-1,I.U.Roederer+_AJ_147_136_2014,5370,4.05,-2.29,-0.12,-0.40
G221-7,J.Simmerer+_ApJ_617_1091_2004,5016,3.37,-0.98,0.23,0.16
G23-14,J.Simmerer+_ApJ_617_1091_2004,5025,4.02,-1.64,-0.02,-0.22
G234-28,I.U.Roederer+_AJ_147_136_2014,5870,3.75,-1.80,-0.06,-0.28
G238-30,I.U.Roederer+_AJ_147_136_2014,5740,3.50,-3.38,1.15,0.65
G238-32,I.U.Roederer+_AJ_147_136_2014,5380,4.35,-1.59,-0.41,-0.61
G24-3,C.J.Akerman+_AAP_414_931_2004,5910,4.16,-1.67,-0.05,-0.26
G24-3,D.Fabbian+_AAP_500_1143_2009,6084,4.23,-1.67,-0.11,-0.32
G24-3,A.M.Amarsi+_AAP_622_L4_2019,6027,4.35,-1.50,-0.20,-0.39
G25-22,I.U.Roederer+_AJ_147_136_2014,5350,3.95,-2.33,-0.25,-0.54
G25-24,I.U.Roederer+_AJ_147_136_2014,5670,3.55,-2.11,0.08,-0.17
G26-1,I.U.Roederer+_AJ_147_136_2014,5860,3.75,-2.08,0.07,-0.19
G28-43,J.Simmerer+_ApJ_617_1091_2004,5061,4.50,-1.64,0.03,-0.17
G29-23,D.Fabbian+_AAP_500_1143_2009,6194,4.04,-1.74,0.13,-0.09
G29-23,C.J.Akerman+_AAP_414_931_2004,5966,3.82,-1.80,0.22,-0.00
G29-23,A.M.Amarsi+_AAP_622_L4_2019,6166,4.06,-1.62,0.02,-0.18
G29-25,J.Simmerer+_ApJ_617_1091_2004,5225,4.28,-1.09,0.13,-0.01
G3-28,B.E.Reddy+_MNRAS_367_1329_2006,5162,4.65,-0.42,0.82,0.76
G39-36,W.Aoki+_Science_345_912_2014,4575,5.00,-2.09,-0.14,-0.40
G4-36,I.U.Roederer+_AJ_147_136_2014,5810,3.65,-2.17,0.26,0.00
G4-37,I.U.Roederer+_AJ_147_136_2014,6110,3.75,-2.73,0.49,0.16
G4-37,D.Fabbian+_AAP_500_1143_2009,6308,4.25,-2.50,0.33,0.02
G4-37,A.M.Amarsi+_AAP_622_L4_2019,6277,4.26,-2.40,0.23,-0.06
G40-8,J.Simmerer+_ApJ_617_1091_2004,5200,4.08,-0.97,0.08,-0.04
G41-41,D.Fabbian+_AAP_500_1143_2009,6440,4.06,-2.71,0.24,-0.09
G48-29,D.Fabbian+_AAP_500_1143_2009,6489,4.25,-2.66,0.34,0.01
G48-29,A.M.Amarsi+_AAP_622_L4_2019,6471,4.21,-2.57,0.13,-0.18
G5-1,J.Simmerer+_ApJ_617_1091_2004,5500,4.32,-1.24,0.13,-0.03
G53-41,C.J.Akerman+_AAP_414_931_2004,5829,4.15,-1.34,-0.02,-0.19
G53-41,D.Fabbian+_AAP_500_1143_2009,5993,4.22,-1.34,-0.08,-0.25
G53-41,A.M.Amarsi+_AAP_622_L4_2019,5937,4.40,-1.15,-0.20,-0.34
G58-25,J.Simmerer+_ApJ_617_1091_2004,6001,4.21,-1.40,0.23,0.06
G59-1,J.Simmerer+_ApJ_617_1091_2004,5922,3.98,-0.95,0.03,-0.09
G59-27,D.Fabbian+_AAP_500_1143_2009,6272,4.23,-1.98,0.36,0.12
G59-27,A.M.Amarsi+_AAP_622_L4_2019,6232,4.18,-1.89,0.25,0.02
G64-12,C.J.Akerman+_AAP_414_931_2004,6511,4.39,-3.17,0.42,0.01
G64-12,T.Matsuno+_AJ_154_52_2017,6285,4.30,-3.38,0.92,0.47
G64-12,A.M.Amarsi+_AAP_622_L4_2019,6427,4.24,-3.23,0.44,0.02
G64-12,I.U.Roederer+_AJ_147_136_2014,6030,3.60,-3.58,1.10,0.54
G64-12,D.Fabbian+_AAP_500_1143_2009,6435,4.26,-3.29,0.53,0.10
G64-12,W.Aoki+_ApJ_639_897_2006,6390,4.38,-3.25,0.50,0.08
G64-12,T.Matsuno+_PASJ_69_24_2017,6291,4.38,-3.36,0.93,0.48
G64-12,V.M.Placco+_ApJ_829_24_2016,6463,4.26,-3.29,1.07,0.64
G64-37,C.J.Akerman+_AAP_414_931_2004,6318,4.16,-3.12,0.41,0.02
G64-37,A.M.Amarsi+_AAP_622_L4_2019,6427,4.24,-3.07,0.38,-0.00
G64-37,V.M.Placco+_ApJ_829_24_2016,6570,4.40,-3.11,1.12,0.73
G64-37,D.Fabbian+_AAP_500_1143_2009,6432,4.24,-3.13,0.41,0.01
G66-30,C.J.Akerman+_AAP_414_931_2004,6346,4.24,-1.52,0.02,-0.17
G66-30,D.Fabbian+_AAP_500_1143_2009,6470,4.29,-1.53,0.01,-0.18
G66-30,A.M.Amarsi+_AAP_622_L4_2019,6596,4.70,-1.24,-0.23,-0.39
G71-55,I.U.Roederer+_AJ_147_136_2014,5550,3.55,-2.06,-0.18,-0.42
G74-5,J.Simmerer+_ApJ_617_1091_2004,5668,4.24,-1.05,0.23,0.10
G75-31,B.E.Reddy+_MNRAS_367_1329_2006,6069,4.58,-1.00,0.37,0.24
G75-56,I.U.Roederer+_AJ_147_136_2014,6190,3.85,-2.35,0.32,0.03
G77-61,B.Plez+_AAP_434_1117_2005,4000,5.05,-4.08,2.66,2.07
G77-61,T.C.Beers+_AJ_133_1193_2007,4000,5.10,-4.05,3.21,2.62
G84-29,D.Fabbian+_AAP_500_1143_2009,6302,4.05,-2.67,0.30,-0.03
G88-23,I.U.Roederer+_AJ_147_136_2014,5640,3.95,-1.94,-0.06,-0.30
G9-27,I.U.Roederer+_AJ_147_136_2014,5360,4.15,-1.79,-0.45,-0.67
G9-31,B.E.Reddy+_MNRAS_367_1329_2006,5506,4.67,-0.89,0.65,0.54
G9-36,J.Simmerer+_ApJ_617_1091_2004,5625,4.57,-1.17,-0.07,-0.22
G90-25,I.U.Roederer+_AJ_147_136_2014,5150,4.05,-2.03,0.03,-0.22
G90-25,J.Simmerer+_ApJ_617_1091_2004,5303,4.46,-1.78,0.13,-0.09
G90-3,I.U.Roederer+_AJ_147_136_2014,5680,3.60,-2.40,-0.09,-0.38
G95-57A,J.Simmerer+_ApJ_617_1091_2004,4965,4.40,-1.22,0.13,-0.02
G95-57B,J.Simmerer+_ApJ_617_1091_2004,4800,4.57,-1.06,0.08,-0.05
GY29057,D.S.Aguado+_ApJ_908_L8_2021,5655,4.43,-2.05,0.12,-0.13
GY53315,D.S.Aguado+_ApJ_908_L8_2021,5136,3.95,-2.14,0.36,0.10
GY65261,D.S.Aguado+_ApJ_908_L8_2021,5283,3.31,-1.73,0.11,-0.08
HD101063,J.Simmerer+_ApJ_617_1091_2004,5150,3.25,-1.33,0.03,-0.10
HD101501,Y.Takeda+_PASJ_57_65_2005,5534,4.53,-0.03,-0.18,-0.19
HD102200,R.G.Gratton+_AAP_354_169_2000,6164,4.20,-1.26,0.05,-0.11
HD103095,R.G.Gratton+_AAP_354_169_2000,5152,4.77,-1.22,-0.04,-0.19
HD103723,C.J.Akerman+_AAP_414_931_2004,6040,4.26,-0.82,0.02,-0.08
HD104800,B.E.Reddy+_MNRAS_367_1329_2006,5663,4.63,-0.84,0.41,0.30
HD105004,C.J.Akerman+_AAP_414_931_2004,5919,4.36,-0.86,0.18,0.07
HD10519,B.E.Reddy+_MNRAS_367_1329_2006,5565,3.96,-0.69,0.57,0.48
HD106038,C.J.Akerman+_AAP_414_931_2004,5919,4.30,-1.42,0.39,0.21
HD106038,D.Fabbian+_AAP_500_1143_2009,6027,4.36,-1.42,0.37,0.19
HD106038,A.M.Amarsi+_AAP_622_L4_2019,5992,4.24,-1.37,0.30,0.13
HD106516,B.E.Reddy+_MNRAS_367_1329_2006,6069,4.44,-0.79,0.41,0.31
HD10700,Y.Takeda+_PASJ_57_65_2005,5420,4.68,-0.43,-0.39,-0.45
HD107582,B.E.Reddy+_MNRAS_367_1329_2006,5532,4.62,-0.77,0.52,0.42
HD108177,C.J.Akerman+_AAP_414_931_2004,6034,4.25,-1.74,0.25,0.03
HD108177,D.Fabbian+_AAP_500_1143_2009,6156,4.28,-1.76,0.23,0.01
HD108177,A.M.Amarsi+_AAP_622_L4_2019,6111,4.26,-1.66,0.14,-0.07
HD109358,Y.Takeda+_PASJ_57_65_2005,5878,4.39,-0.22,0.02,-0.01
HD110621,D.Fabbian+_AAP_500_1143_2009,6157,4.08,-1.64,0.23,0.03
HD110621,C.J.Akerman+_AAP_414_931_2004,5989,3.99,-1.66,0.29,0.08
HD110621,A.M.Amarsi+_AAP_622_L4_2019,6130,4.10,-1.53,0.13,-0.06
HD111367,B.E.Reddy+_MNRAS_367_1329_2006,5730,4.09,-0.29,0.29,0.25
HD111980,B.E.Reddy+_MNRAS_367_1329_2006,5619,3.83,-1.03,0.33,0.20
HD11397,B.E.Reddy+_MNRAS_367_1329_2006,5455,4.62,-0.65,0.69,0.61
HD114094,B.E.Reddy+_MNRAS_367_1329_2006,5482,4.59,-0.26,0.29,0.25
HD114642,Y.Takeda+_PASJ_57_65_2005,6434,3.83,-0.12,0.35,0.33
HD114762,B.E.Reddy+_MNRAS_367_1329_2006,5754,4.16,-0.76,0.44,0.34
HD114946,Y.Takeda+_PASJ_57_65_2005,5026,3.18,-0.33,0.15,0.18
HD115617,B.E.Reddy+_MNRAS_367_1329_2006,5515,4.53,-0.08,0.31,0.29
HD116064,R.G.Gratton+_AAP_354_169_2000,6109,4.38,-1.83,0.16,-0.07
HD116926,B.E.Reddy+_MNRAS_367_1329_2006,5383,3.84,-0.49,0.46,0.39
HD117176,Y.Takeda+_PASJ_57_65_2005,5466,3.80,-0.11,0.06,0.04
HD121004,C.J.Akerman+_AAP_414_931_2004,5595,4.31,-0.77,0.39,0.29
HD122196,I.U.Roederer+_AJ_147_136_2014,5880,3.80,-1.97,0.02,-0.22
HD124850,Y.Takeda+_PASJ_57_65_2005,6374,4.08,-0.01,0.28,0.27
HD126512,B.E.Reddy+_MNRAS_367_1329_2006,5708,4.01,-0.67,0.36,0.27
HD127340,B.E.Reddy+_MNRAS_367_1329_2006,5204,3.85,-0.44,0.54,0.48
HD128167,Y.Takeda+_PASJ_57_65_2005,6952,4.43,-0.29,-0.55,-0.59
HD128279,A.McWilliam+_AJ_109_2757_1995,5480,3.10,-1.91,-0.22,-0.44
HD128279,R.G.Gratton+_AAP_354_169_2000,5394,2.98,-2.16,0.20,-0.06
HD128279,J.Simmerer+_ApJ_617_1091_2004,5290,2.95,-2.01,0.08,-0.15
HD129290,B.E.Reddy+_MNRAS_367_1329_2006,5825,4.35,-0.19,0.23,0.20
HD131156,Y.Takeda+_PASJ_57_65_2005,5527,4.60,-0.13,-0.10,-0.12
HD131597,B.E.Reddy+_MNRAS_367_1329_2006,5159,3.57,-0.78,0.50,0.46
HD132130,B.E.Reddy+_MNRAS_367_1329_2006,5189,3.76,-0.16,0.43,0.48
HD132475,R.G.Gratton+_AAP_354_169_2000,5758,3.82,-1.48,0.07,-0.11
HD132475,I.U.Roederer+_AJ_147_136_2014,5410,3.50,-1.82,-0.10,-0.30
HD132475,J.Simmerer+_ApJ_617_1091_2004,5425,3.56,-1.86,0.03,-0.18
HD133640,Y.Takeda+_PASJ_57_65_2005,5851,4.30,-0.19,-0.06,-0.09
HD134088,B.E.Reddy+_MNRAS_367_1329_2006,5572,4.63,-0.80,0.55,0.45
HD134113,B.E.Reddy+_MNRAS_367_1329_2006,5574,3.95,-0.90,0.52,0.41
HD134439,R.G.Gratton+_AAP_354_169_2000,5134,4.81,-1.30,-0.23,-0.39
HD134440,J.Melendez+_ApJ_575_474_2002,4732,4.80,-1.44,0.31,0.13
HD134985,B.E.Reddy+_MNRAS_367_1329_2006,5116,4.68,-0.64,0.75,0.67
HD135145,B.E.Reddy+_MNRAS_367_1329_2006,5649,4.22,-0.28,0.65,0.61
HD13555,Y.Takeda+_PASJ_57_65_2005,6410,4.10,-0.24,0.18,0.14
HD136231,B.E.Reddy+_MNRAS_367_1329_2006,5712,4.24,-0.44,0.46,0.40
HD137108,Y.Takeda+_PASJ_57_65_2005,5949,4.15,-0.06,-0.08,-0.09
HD140283,C.J.Akerman+_AAP_414_931_2004,5690,3.69,-2.42,0.33,0.03
HD140283,C.Siqueira-Mello+_AAP_584_86_2015,5750,3.70,-2.59,0.46,0.14
HD140283,A.M.Amarsi+_AAP_622_L4_2019,5762,3.66,-2.36,0.24,-0.05
HD140283,H.Li+_ApJ_852_L31_2018,5647,3.10,-2.64,0.61,0.28
HD140283,W.Aoki+_PASJ_54_427_2002,5750,3.30,-2.58,0.45,0.13
HD140283,D.Fabbian+_AAP_500_1143_2009,5849,3.72,-2.43,0.27,-0.03
HD140283,S.Honda+_ApJ_607_474_2004,5630,3.50,-2.52,0.40,0.09
HD141004,Y.Takeda+_PASJ_57_65_2005,5877,4.11,-0.01,0.24,0.23
HD14106,B.E.Reddy+_MNRAS_367_1329_2006,5585,4.57,-0.74,0.53,0.43
HD142373,Y.Takeda+_PASJ_57_65_2005,5776,3.84,-0.51,0.18,0.11
HD142860,Y.Takeda+_PASJ_57_65_2005,6281,4.06,-0.13,0.14,0.12
HD143761,Y.Takeda+_PASJ_57_65_2005,5832,4.25,-0.22,0.08,0.05
HD145417,R.G.Gratton+_AAP_354_169_2000,5014,4.79,-1.36,-0.07,-0.24
HD146296,C.J.Akerman+_AAP_414_931_2004,5671,4.17,-0.74,0.27,0.17
HD147444,B.E.Reddy+_MNRAS_367_1329_2006,5058,4.67,-0.71,0.88,0.79
HD148816,B.E.Reddy+_MNRAS_367_1329_2006,5724,4.10,-0.85,0.59,0.48
HD148816,C.J.Akerman+_AAP_414_931_2004,5823,4.14,-0.73,0.32,0.23
HD150433,B.E.Reddy+_MNRAS_367_1329_2006,5565,4.52,-0.43,0.44,0.38
HD150633,B.E.Reddy+_MNRAS_367_1329_2006,5559,4.29,-0.06,0.27,0.26
HD151559,R.G.Gratton+_AAP_354_169_2000,5166,2.81,-0.68,-0.20,-0.23
HD151769,Y.Takeda+_PASJ_57_65_2005,6220,3.30,-0.08,-0.18,-0.11
HD15335,Y.Takeda+_PASJ_57_65_2005,5846,3.80,-0.20,0.21,0.18
HD156802,B.E.Reddy+_MNRAS_367_1329_2006,5524,3.87,-0.57,0.48,0.40
HD156826,Y.Takeda+_PASJ_57_65_2005,5150,3.55,-0.23,-0.38,-0.34
HD156893,B.E.Reddy+_MNRAS_367_1329_2006,5259,3.86,-0.34,0.35,0.30
HD157214,Y.Takeda+_PASJ_57_65_2005,5693,4.21,-0.37,0.23,0.18
