# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     2
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   375   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  267         1.3000000000000031E+010         1.3251535544140008E-001         1.3251257084861642E-001        -2.2648039192285907E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3126543644937465E+000        -2.3123393646734751E+000        -6.9153031248062049E+001         3.6176933675096130E+000        -8.6903676508398564E-001         5.2907239827574983E+000         7.3831395629139440E-001         1.2360334757055967E-002         2.4932428038314819E-001         2.4965242100831475E-007         6.1088824357856688E-007         6.7409364055256393E+000         2.6178079331838320E+000         3.4908425463004300E-001         7.3831395607257799E-001         2.4932428058879094E-001         2.4965242125053499E-007         0.0000000000000000E+000
  268         1.3000000000000031E+010         1.3556280474690247E-001         1.3555983002269625E-001        -2.3967932379593804E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2817000116078168E+000        -2.2813879841447426E+000        -6.8713437695029043E+001         3.6195583768234201E+000        -8.5728960726863490E-001         5.2779618526419636E+000         7.3786401796430312E-001         1.2723556556851319E-002         2.4941099691045121E-001         2.4965227190358764E-007         6.1088824358009874E-007         6.7486130316331865E+000         2.5939203575966245E+000         3.3580647605693392E-001         7.3786401774482602E-001         2.4941099711652634E-001         2.4965227214546049E-007         0.0000000000000000E+000
  269         1.3000000000000031E+010         1.3868833842945624E-001         1.3868515513780030E-001        -2.5340659111595304E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2498897208601161E+000        -2.2495817066963513E+000        -6.8269318709523816E+001         3.6214686187243208E+000        -8.4520494569658589E-001         5.2647996831547985E+000         7.3740763887605754E-001         1.3072549747924066E-002         2.4951838280761762E-001         2.4965210803168172E-007         6.1088824358221600E-007         6.7563885486329918E+000         2.5693106801385830E+000         3.2227388584721234E-001         7.3740763865610848E-001         2.4951838301399501E-001         2.4965210827300924E-007         0.0000000000000000E+000
  270         1.3000000000000031E+010         1.4179015699478362E-001         1.4178675471322111E-001        -2.6716470834024447E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2182516399019958E+000        -2.2179477848547107E+000        -6.7833790730093881E+001         3.6233634668621448E+000        -8.3317560149317504E-001         5.2516646094378201E+000         7.3694447769890759E-001         1.3417680908488921E-002         2.4963641282415078E-001         2.4965193548299300E-007         6.1088824358427366E-007         6.7640303338256729E+000         2.5447779042013825E+000         3.0890705039828464E-001         7.3694447747846814E-001         2.4963641303086342E-001         2.4965193572382104E-007         0.0000000000000000E+000
  271         1.3000000000000031E+010         1.4479113660625403E-001         1.4478750920851488E-001        -2.8063790961110443E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1875722711759527E+000        -2.1872728242503174E+000        -6.7418985818126131E+001         3.6251946905304182E+000        -8.2149836446669899E-001         5.2388786072714879E+000         7.3649580246280022E-001         1.3737092385480010E-002         2.4976567658321944E-001         2.4965175676927758E-007         6.1088824358632464E-007         6.7713286540427813E+000         2.5209244863591871E+000         2.9605588034850600E-001         7.3649580224183187E-001         2.4976567679033945E-001         2.4965175700968745E-007         0.0000000000000000E+000
  272         1.3000000000000031E+010         1.4837139072445482E-001         1.4836748948853878E-001        -2.9713105708485723E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1529725871262770E+000        -2.1526800130761878E+000        -6.6969782273480575E+001         3.6272235739649004E+000        -8.0825628931082605E-001         5.2245652690076891E+000         7.3604242483665261E-001         1.4000475330417971E-002         2.4995567126428461E-001         2.4965144635568853E-007         6.1088824359219236E-007         6.7792787786632029E+000         2.4940573414560601E+000         2.8211648398651790E-001         7.3604242461581626E-001         2.4995567147131414E-001         2.4965144659473774E-007         0.0000000000000000E+000
  273         1.3000000000000031E+010         1.5583129577067217E-001         1.5582699902083422E-001        -3.3352258502274643E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1079551199842963E+000        -2.1076717986571758E+000        -6.6535215412302250E+001         3.6294185827681824E+000        -7.9013757334639911E-001         5.2078757765145047E+000         7.3582918989277335E-001         1.3822778683828005E-002         2.5034660285452714E-001         2.4964960164965034E-007         6.1088824362492542E-007         6.7873701697142099E+000         2.4601699626517468E+000         2.7003960901463020E-001         7.3582918967418198E-001         2.5034660305997780E-001         2.4964960188566601E-007         0.0000000000000000E+000
  274         1.3000000000000031E+010         1.6312143365393994E-001         1.6311672008809325E-001        -3.6935096134213043E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0641002443747851E+000        -2.0638289963077128E+000        -6.6115813138021664E+001         3.6315403800840191E+000        -7.7245373017331642E-001         5.1915949296029735E+000         7.3565623745147812E-001         1.3568661838148841E-002         2.5077367214129537E-001         2.4964768435307619E-007         6.1088824365738266E-007         6.7951873805703418E+000         2.4271016748557672E+000         2.5833680349080024E-001         7.3565623723467211E-001         2.5077367234567893E-001         2.4964768458661836E-007         0.0000000000000000E+000
  275         1.3000000000000031E+010         1.7193627755955213E-001         1.7193105290999261E-001        -4.1309845992992788E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0146254243977855E+000        -2.0143715731951031E+000        -6.5671113227400554E+001         3.6338328411991556E+000        -7.5230124241509189E-001         5.1736405831667316E+000         7.3559117205725033E-001         1.3064171214342373E-002         2.5134322815924148E-001         2.4964510375661042E-007         6.1088824369997211E-007         6.8035688970389563E+000         2.3900134302619018E+000         2.4633025307686285E-001         7.3559117184254874E-001         2.5134322836255168E-001         2.4964510398755093E-007         0.0000000000000000E+000
  276         1.3000000000000031E+010         1.8137269151877020E-001         1.8136688947880580E-001        -4.6013010587125992E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.9635308916747354E+000        -1.9632971349282133E+000        -6.5223521829863571E+001         3.6361380966060075E+000        -7.3136448686726929E-001         5.1553458519042668E+000         7.3562230884295987E-001         1.2361342830064428E-002         2.5201491975754153E-001         2.4964210834571330E-007         6.1088824374695692E-007         6.8120384352206953E+000         2.3518373635784950E+000         2.3451776906089727E-001         7.3562230863002076E-001         2.5201491996033021E-001         2.4964210857468589E-007         0.0000000000000000E+000
  277         1.3000000000000031E+010         1.9058276669975446E-001         1.9057635653499486E-001        -5.0623828420058476E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.9138509635484602E+000        -1.9136397107499632E+000        -6.4787880144767286E+001         3.6383603247306788E+000        -7.1096897905347367E-001         5.1375680240999131E+000         7.3570495941119052E-001         1.1557738105123661E-002         2.5273587391385588E-001         2.4963901401897907E-007         6.1088824379305976E-007         6.8202700310674409E+000         2.3146901460937519E+000         2.2303113883413250E-001         7.3570495919930079E-001         2.5273587411690251E-001         2.4963901424687726E-007         0.0000000000000000E+000
  278         1.3000000000000031E+010         1.9954288003458090E-001         1.9953592381829455E-001        -5.4974928497888588E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8732605935080993E+000        -1.8730706228027083E+000        -6.4418932750882689E+001         3.6398714254989954E+000        -6.9369599556992645E-001         5.1231964735359288E+000         7.3580160560479313E-001         1.0846186655426875E-002         2.5335077916951682E-001         2.4963400358508653E-007         6.1088824387883964E-007         6.8272200215010468E+000         2.2839102781850240E+000         2.1409187156586879E-001         7.3580160539406003E-001         2.5335077937241002E-001         2.4963400381211455E-007         0.0000000000000000E+000
